d,alpha,policy,gamma,uniform_regret,adversarial_regret
29,3,balanced,0.56334895066686008,0.0051696530169675903,0.005169653068797464
30,1.5,uniform,0.65321515288363063,0,0.03331037190003272
30,1.5,adversarial,0.80000000000000004,0.032237302261234779,2.2204460492503131e-16
30,1.5,balanced,0.72628205759787001,0.0080875701316329707,0.0080875702087730428
30,2,uniform,0.58113883008418976,0,0.026334038989723974
30,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
30,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
30,3,uniform,0.54196391247336362,0,0.020563146225110351
30,3,adversarial,0.58578643762690508,0.021282602777988879,0
30,3,balanced,0.56333884211014595,0.0051744139696576763,0.0051744138966898223
31,1.5,uniform,0.65326332549906641,0,0.033287579874517137
31,1.5,adversarial,0.80000000000000004,0.032215347798952187,2.2204460492503131e-16
31,1.5,balanced,0.72630519627384338,0.0080824082834485278,0.0080824082645865047
31,2,uniform,0.58113883008418976,0,0.026334038989723974
31,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
31,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
31,3,uniform,0.5419466392102823,0,0.020580060593162086
31,3,adversarial,0.58578643762690508,0.021301811805147119,0
31,3,balanced,0.5633293919294502,0.0051788667891945472,0.0051788667152792289
32,1.5,uniform,0.65330377327641354,0,0.033268449319188154
32,1.5,adversarial,0.80000000000000004,0.032194702379551909,2.2204460492503131e-16
32,1.5,balanced,0.72632695178273288,0.008077556431175692,0.0080775564471864403
32,2,uniform,0.58113883008418976,0,0.026334038989723974
32,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
32,2,balanced,0.6227766018055888,0.0065835097854518576,0.0065835097099040674
32,3,uniform,0.54193118953410513,0,0.020595195639734776
32,3,adversarial,0.58578643762690508,0.021319882989198291,0
32,3,balanced,0.56332048628047537,0.0051830648373296651,0.005183064784069602
33,1.5,uniform,0.65333172200317569,0,0.033255233949457175
33,1.5,adversarial,0.80000000000000004,0.032175267522490003,2.2204460492503131e-16
33,1.5,balanced,0.72634740093757477,0.008072997421964434,0.0080729973453539383
33,2,uniform,0.58113883008418976,0,0.026334038989723974
33,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
33,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
33,3,uniform,0.54191391627102381,0,0.020612124265329435
33,3,adversarial,0.58578643762690508,0.021336973116456326,0
33,3,balanced,0.5633120671327474,0.0051870352069200987,0.0051870351497560474
34,1.5,uniform,0.65336444494243417,0,0.033239764779473546
34,1.5,adversarial,0.80000000000000004,0.032156940629169739,2.2204460492503131e-16
34,1.5,balanced,0.72636667892674622,0.0080687006954696106,0.0080687005757855701
34,2,uniform,0.58113883008418976,0,0.026334038989723974
34,2,adversarial,0.66666666666666663,0.02704627669472992,2.2204460492503131e-16
34,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
34,3,uniform,0.54189846659484664,0,0.020627272065405933
34,3,adversarial,0.58578643762690508,0.021353113523348677,0
34,3,balanced,0.56330409786521662,0.0051907947786533626,0.0051907948176579399
35,1.5,uniform,0.653401942094189,0,0.033222043534269385
35,1.5,adversarial,0.80000000000000004,0.03213961125703757,2.2204460492503131e-16
35,1.5,balanced,0.7263849309431778,0.0080646334964602495,0.0080646335737297736
35,2,uniform,0.58113883008418976,0,0.026334038989723974
35,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
35,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
35,3,uniform,0.54188596754426177,0,0.020639531299893266
35,3,adversarial,0.58578643762690508,0.021368400551801114,0
35,3,balanced,0.56329657590174897,0.0051943448322713248,0.0051943447633477913
36,1.5,uniform,0.65343466503344749,0,0.033206582822427277
36,1.5,adversarial,0.80000000000000004,0.032123196820239563,2.2204460492503131e-16
36,1.5,balanced,0.72640225566523253,0.0080607741328084792,0.0080607741800711175
36,2,uniform,0.58113883008418976,0,0.026334038989723974
36,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
36,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
36,3,uniform,0.54187346849367679,0,0.020651794476239216
36,3,adversarial,0.58578643762690508,0.021382854965201981,0
36,3,balanced,0.56328949024606412,0.0051976898985794939,0.0051976899534622589
37,1.5,uniform,0.65347033859829817,0,0.033189732509234515
37,1.5,adversarial,0.80000000000000004,0.032107633830061433,2.2204460492503131e-16
37,1.5,balanced,0.72641866800622568,0.0080571190203162502,0.0080571189198508364
37,2,uniform,0.58113883008418976,0,0.026334038989723974
37,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
37,2,balanced,0.6227766018055888,0.0065835097854523017,0.0065835097099040674
37,3,uniform,0.54186096944309181,0,0.020664061594719119
37,3,adversarial,0.58578643762690508,0.021396576788515809,0
37,3,balanced,0.56328274881742424,0.0052008736934756605,0.0052008736737230166
38,1.5,uniform,0.65350011091196447,0,0.033175673221767621
38,1.5,adversarial,0.80000000000000004,0.032092852389223436,2.2204460492503131e-16
38,1.5,balanced,0.72643425263755579,0.0080536488258680095,0.0080536487984883554
38,2,uniform,0.58113883008418976,0,0.026334038989723974
38,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
38,2,balanced,0.6227766018055888,0.0065835097854518576,0.0065835097099040674
38,3,uniform,0.54184847039250694,0,0.020676332655609642
38,3,adversarial,0.58578643762690508,0.021409626131533077,0
38,3,balanced,0.56327631982840254,0.0052039107129004947,0.0052039107874275459
39,1.5,uniform,0.65352328542623017,0,0.033164731850417573
39,1.5,adversarial,0.80000000000000004,0.032078811009368824,2.2204460492503131e-16
39,1.5,balanced,0.72644904163088997,0.0080503566144853878,0.0080503565535199328
39,2,uniform,0.58113883008418976,0,0.026334038989723974
39,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
39,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
39,3,uniform,0.54183302071632977,0,0.02069150596971725
39,3,adversarial,0.58578643762690508,0.021422068585171372,0
39,3,balanced,0.56327020797437322,0.0052067989936950276,0.0052067989407276194
40,1.5,uniform,0.65355305773989647,0,0.033150678363822017
40,1.5,adversarial,0.80000000000000004,0.032065458548377723,2.2204460492503131e-16
40,1.5,balanced,0.72646309879399706,0.0080472279447953987,0.0080472278720304935
40,2,uniform,0.58113883008418976,0,0.026334038989723974
40,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
40,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
40,3,uniform,0.54182529587824102,0,0.020699094885892944
40,3,adversarial,0.58578643762690508,0.021433909841564347,0
40,3,balanced,0.56326435839475919,0.0052095638833646873,0.0052095639388336501
41,1.5,uniform,0.65357328162856998,0,0.033141133900232322
41,1.5,adversarial,0.80000000000000004,0.032052731022054859,2.2204460492503131e-16
