alpha,gamma,alternation,best_block,envelope,active_m,is_envelope_minimum
256,4.538333333333333663e-01,1.641287001599353899e-32,5.994138725517528057e+08,5.994138725517528057e+08,10,0
256,4.540000000000000147e-01,1.474033495788079514e-32,5.541698539544496536e+08,5.541698539544496536e+08,10,0
256,4.541666666666666630e-01,1.323796645662171247e-32,5.123280611519148350e+08,5.123280611519148350e+08,10,0
256,4.543333333333333668e-01,1.188847899548372494e-32,4.736336192087316513e+08,4.736336192087316513e+08,10,0
256,4.545000000000000151e-01,1.067634013318828728e-32,4.378506748125235438e+08,4.378506748125235438e+08,10,0
256,4.546666666666666634e-01,9.587592991025199584e-33,4.047609820478136539e+08,4.047609820478136539e+08,10,0
256,4.548333333333333672e-01,8.609696686120033570e-33,3.741625929155641794e+08,3.741625929155641794e+08,10,0
256,4.550000000000000155e-01,7.731382899393182710e-33,3.458686448697097898e+08,3.458686448697097898e+08,10,0
256,4.551666666666666639e-01,6.942526949322657223e-33,3.197062382101836205e+08,3.197062382101836205e+08,10,0
256,4.553333333333333677e-01,6.234031906812286827e-33,2.955153966988421679e+08,2.955153966988421679e+08,10,0
256,4.555000000000000160e-01,5.597724434118319533e-33,2.731481052519788146e+08,2.731481052519788146e+08,10,0
256,4.556666666666666643e-01,5.026261163593204729e-33,2.524674190156422555e+08,2.524674190156422555e+08,10,0
256,4.558333333333333681e-01,4.513044551438977545e-33,2.333466385488828123e+08,2.333466385488828123e+08,10,0
256,4.560000000000000164e-01,4.052147249060307861e-33,2.156685462283199728e+08,2.156685462283199728e+08,10,0
256,4.561666666666666647e-01,3.638244131202163956e-33,1.993246993473132551e+08,1.993246993473132551e+08,10,0
256,4.563333333333333686e-01,3.266551206913736541e-33,1.842147757163704634e+08,1.842147757163704634e+08,10,0
256,4.565000000000000169e-01,2.932770717488858079e-33,1.702459678805041313e+08,1.702459678805041313e+08,10,0
256,4.566666666666666652e-01,2.633041795771761962e-33,1.573324223553216159e+08,1.573324223553216159e+08,10,0
256,4.568333333333333690e-01,2.363896124378728201e-33,1.453947205492215455e+08,1.453947205492215455e+08,10,0
256,4.570000000000000173e-01,2.122218087178415758e-33,1.343593982845862806e+08,1.343593982845862806e+08,10,0
256,4.571666666666666656e-01,1.905208959438601912e-33,1.241585010586145818e+08,1.241585010586145818e+08,10,0
256,4.573333333333333695e-01,1.710354727972433759e-33,1.147291723956617713e+08,1.147291723956617713e+08,10,0
256,4.575000000000000178e-01,1.535397173898422629e-33,1.060132728381453902e+08,1.060132728381453902e+08,10,0
256,4.576666666666666661e-01,1.378307887754038758e-33,9.795702730438129604e+07,9.795702730438129604e+07,10,0
256,4.578333333333333699e-01,1.237264920081224772e-33,9.051069870942577720e+07,9.051069870942577720e+07,10,0
256,4.580000000000000182e-01,1.110631800610566094e-33,8.362828590045559406e+07,8.362828590045559406e+07,10,0
256,4.581666666666666665e-01,9.969386861520057124e-34,7.726724410223725438e+07,7.726724410223725438e+07,10,0
256,4.583333333333333703e-01,8.948654215587337181e-34,7.138822620161269605e+07,7.138822620161269605e+07,10,0
256,4.585000000000000187e-01,8.032263199386853076e-34,6.595484332354043424e+07,6.595484332354043424e+07,10,0
256,4.586666666666666670e-01,7.209564878938219036e-34,6.093344326563629508e+07,6.093344326563629508e+07,10,0
256,4.588333333333333708e-01,6.470995391955949955e-34,5.629290546430765092e+07,5.629290546430765092e+07,10,0
