alpha,lower_bound,lower_numerical_upper,theorem_upper,normalized_lower,normalized_upper,relative_band_width,gamma_lower_envelope,active_m,active_m_normalized,base_m,truncation_m,branch_relative_width,branch_converged
7.175885432600569038e+04,9.336687108540565883e-02,9.338545847564211355e-02,1.520845758492644639e-01,7.530443942490692155e-01,1.226628202955146740e+00,3.860858633163146147e-01,5.000000000000000000e-01,20,1.019687351435653699e+00,80,320,1.990394493946068440e-04,1
1.000000000000000000e+05,9.088601036908382225e-02,9.090389047951445700e-02,1.468696544473057086e-01,7.547919781932092009e-01,1.219726078487258780e+00,3.811791093871460534e-01,5.000000000000000000e-01,20,9.933039867426446401e-01,84,336,1.966924664755036710e-04,1
1.098560543306118198e+05,9.035975622317020395e-02,9.037761233350084800e-02,1.454564604876247835e-01,7.565485733170815852e-01,1.217852750619164315e+00,3.787848547926279674e-01,5.000000000000000000e-01,21,1.035392225178456416e+00,84,336,1.975722733717895591e-04,1
1.681792830507431645e+05,8.788126494103976061e-02,8.789877862468963021e-02,1.393783928915189596e-01,7.627935819075895019e-01,1.209779395250784484e+00,3.694771254147008466e-01,5.000000000000000000e-01,21,1.002456530916375765e+00,84,336,1.992483163463461054e-04,1
2.574666587090450339e+05,8.547962873169386022e-02,8.549647769684370902e-02,1.337844301428594562e-01,7.682065386394154594e-01,1.202322419140158249e+00,3.610644479300328391e-01,5.000000000000000000e-01,22,1.017901113567246218e+00,88,352,1.970720385650555405e-04,1
3.941572299770073150e+05,8.294865791049899073e-02,8.296518343100364734e-02,1.286188371497666572e-01,7.709419021153484097e-01,1.195409949454465437e+00,3.550815747625543084e-01,5.000000000000000000e-01,23,1.032502415641363580e+00,92,368,1.991862106638953315e-04,1
6.034176336545172380e+05,8.090555433579674216e-02,8.092115297179391931e-02,1.238341726180845620e-01,7.768064814461930201e-01,1.188981259741435537e+00,3.466621319034725590e-01,5.000000000000000000e-01,23,1.002734608059010935e+00,92,368,1.927633928129304688e-04,1
9.237756228052884107e+05,7.885347223490481172e-02,7.886892623766618426e-02,1.193897915199713528e-01,7.813268427745965194e-01,1.182984670477511990e+00,3.395291906367529089e-01,5.000000000000000000e-01,24,1.017074279933471548e+00,96,384,1.959453931806165320e-04,1
1.414213562373095658e+06,7.668303744301882552e-02,7.669831863307553788e-02,1.152506620540126453e-01,7.833773688105460931e-01,1.177375902208283476e+00,3.346412413051385593e-01,5.000000000000000000e-01,25,1.030692783630176690e+00,100,400,1.992376147098805488e-04,1
2.165027903557872865e+06,7.498698536378646529e-02,7.500117469961303796e-02,1.113864225903700711e-01,7.890863293425479652e-01,1.172116773517868138e+00,3.267852255246998516e-01,5.000000000000000000e-01,25,1.003505895127908776e+00,100,400,1.891881811638595134e-04,1
3.314454017339990474e+06,7.320179500122545035e-02,7.321620002560336182e-02,1.077706235650766481e-01,7.927878771146646963e-01,1.167174163830961620e+00,3.207630003456091727e-01,5.000000000000000000e-01,26,1.016873951385836472e+00,104,416,1.967464082112168938e-04,1
5.074117250409631059e+06,7.131192694581134361e-02,7.132596838942310835e-02,1.043801132385750036e-01,7.942267961676083843e-01,1.162519181175414529e+00,3.168054265009447312e-01,5.000000000000000000e-01,27,1.029618902187396934e+00,108,432,1.968629929439126255e-04,1
7.767996097157336771e+06,6.989521215948590882e-02,6.990865859593882459e-02,1.011945363395253816e-01,7.999196363243336050e-01,1.158126489723185104e+00,3.092985581259521943e-01,5.000000000000000000e-01,27,1.004578862995453070e+00,108,432,1.923429332356965617e-04,1
1.189207115002722293e+07,6.831971671678981062e-02,6.833325418255682682e-02,9.819592201654897545e-02,8.028761169764733197e-01,1.153973762777567691e+00,3.042509779043993667e-01,5.000000000000000000e-01,28,1.017089508739926984e+00,112,448,1.981094845980839881e-04,1
1.820564203026081249e+07,6.673207161822561351e-02,6.674481710245849797e-02,9.536834298955461364e-02,8.047181239008518450e-01,1.150041234882436036e+00,3.002701994567048005e-01,5.000000000000000000e-01,28,9.935720416988972348e-01,116,464,1.909584112474104443e-04,1
2.787112501704477519e+07,6.546369585278490055e-02,6.547658604590385345e-02,9.269763188681361121e-02,8.095328318485106589e-01,1.146311332860542542e+00,2.937932229733992151e-01,5.000000000000000000e-01,29,1.005832993318262591e+00,116,464,1.968672146393816915e-04,1
4.266807006446480751e+07,6.405666639087494174e-02,6.406943012430725559e-02,9.017114381511828758e-02,8.118110643645068958e-01,1.142768369943522933e+00,2.896101382254500645e-01,5.000000000000000000e-01,30,1.017583485590548120e+00,120,480,1.992172149424414364e-04,1
6.532080071804465353e+07,6.271960061592597724e-02,6.273191577202105740e-02,8.777755656107835702e-02,8.141330032214192380e-01,1.139398290753188991e+00,2.854711036267713054e-01,5.000000000000000000e-01,30,9.956672215561783723e-01,124,496,1.963140443508154238e-04,1
1.000000000000001788e+08,6.156855879918381874e-02,6.158073796932906491e-02,8.550670161601009456e-02,8.181053009469331228e-01,1.136188457597498314e+00,2.799563351692208046e-01,5.000000000000000000e-01,31,1.007190716876919190e+00,124,496,1.977756445743168777e-04,1
