alpha,dimension,gamma,scaled_difference
2,2,0.248,-1.6025641025641026
2,2,0.249,-1.6012810248198557
2,2,0.25,-1.6
2,2,0.251,-1.598721023181455
2,2,0.252,-1.597444089456869
2,2,0.253,-1.596169193934557
2,2,0.254,-1.594896331738437
2,2,0.255,-1.5936254980079683
2,2,0.256,-1.5923566878980893
2,2,0.257,-1.5910898965791567
2,2,0.258,-1.589825119236884
2,2,0.259,-1.5885623510722797
2,2,0.26,-1.5873015873015872
2,2,0.261,-1.5860428231562251
2,2,0.262,-1.5847860538827259
2,2,0.263,-1.5835312747426762
2,2,0.264,-1.5822784810126582
2,2,0.265,-1.5810276679841895
2,2,0.266,-1.5797788309636651
2,2,0.267,-1.5785319652722969
2,2,0.268,-1.5772870662460567
2,2,0.269,-1.5760441292356184
2,2,0.27,-1.574803149606299
2,2,0.271,-1.5735641227380017
2,2,0.272,-1.572327044025157
2,2,0.273,-1.571091908876669
2,2,0.274,-1.5698587127158556
2,2,0.275,-1.5686274509803924
2,2,0.276,-1.567398119122257
2,2,0.277,-1.566170712607674
2,2,0.278,-1.5649452269170578
2,2,0.279,-1.563721657544957
2,2,0.28,-1.5625
2,2,0.281,-1.5612802498048397
2,2,0.28200000000000003,-1.5600624024960998
2,2,0.28300000000000003,-1.558846453624318
2,2,0.28400000000000003,-1.557632398753894
2,2,0.28500000000000003,-1.5564202334630348
2,2,0.28600000000000003,-1.5552099533437014
2,2,0.28700000000000003,-1.5540015540015542
2,2,0.28800000000000003,-1.5527950310559007
2,2,0.289,-1.5515903801396431
2,2,0.29,-1.5503875968992247
2,2,0.291,-1.549186676994578
2,2,0.292,-1.547987616099071
2,2,0.293,-1.5467904098994587
2,2,0.294,-1.5455950540958268
2,2,0.295,-1.5444015444015444
2,2,0.296,-1.5432098765432098
2,2,0.297,-1.5420200462606015
2,2,0.298,-1.5408320493066254
2,2,0.299,-1.539645881447267
2,2,0.3,-1.5384615384615383
2,2,0.301,-1.5372790161414298
2,2,0.302,-1.5360983102918586
2,2,0.303,-1.5349194167306217
2,2,0.304,-1.5337423312883436
2,2,0.305,-1.5325670498084292
2,2,0.306,-1.5313935681470137
2,2,0.307,-1.5302218821729152
2,2,0.308,-1.529051987767584
2,2,0.309,-1.5278838808250574
2,2,0.31,-1.5267175572519083
2,2,0.311,-1.5255530129672006
2,2,0.312,-1.524390243902439
2,2,0.313,-1.5232292460015233
2,2,0.314,-1.5220700152207
2,2,0.315,-1.5209125475285172
2,2,0.316,-1.519756838905775
2,2,0.317,-1.5186028853454823
2,2,0.318,-1.5174506828528072
2,2,0.319,-1.5163002274450341
2,2,0.32,-1.5151515151515151
2,2,0.321,-1.514004542013626
2,2,0.322,-1.51285930408472
2,2,0.323,-1.5117157974300832
2,2,0.324,-1.510574018126888
2,2,0.325,-1.509433962264151
2,2,0.326,-1.5082956259426847
2,2,0.327,-1.5071590052750565
2,2,0.328,-1.506024096385542
2,2,0.329,-1.5048908954100828
2,2,0.33,-1.5037593984962405
2,2,0.331,-1.5026296018031555
2,2,0.332,-1.5015015015015014
2,2,0.333,-1.5003750937734435
2,2,0.334,-1.4992503748125936
2,2,0.335,-1.4981273408239701
2,2,0.336,-1.497005988023952
2,2,0.337,-1.4958863126402393
2,2,0.338,-1.4947683109118086
2,2,0.339,-1.4936519790888723
2,2,0.34,-1.4925373134328357
2,2,0.341,-1.4914243102162565
2,2,0.342,-1.4903129657228018
2,2,0.343,-1.4892032762472078
2,2,0.34400000000000003,-1.488095238095238
2,2,0.34500000000000003,-1.4869888475836432
2,2,0.34600000000000003,-1.4858841010401187
2,2,0.34700000000000003,-1.4847809948032666
2,2,0.34800000000000003,-1.4836795252225519
2,2,0.34900000000000003,-1.4825796886582654
2,2,0.35000000000000003,-1.4814814814814814
2,2,0.35100000000000003,-1.4803849000740192
2,2,0.352,-1.4792899408284026
2,2,0.353,-1.4781966001478197
2,2,0.354,-1.4771048744460855
2,2,0.355,-1.4760147601476015
2,2,0.356,-1.4749262536873158
2,2,0.357,-1.4738393515106853
2,2,0.358,-1.4727540500736376
2,2,0.359,-1.4716703458425313
2,2,0.36,-1.4705882352941178
2,2,0.361,-1.4695077149155034
2,2,0.362,-1.4684287812041115
2,2,0.363,-1.467351430667645
2,2,0.364,-1.466275659824047
2,2,0.365,-1.465201465201465
2,2,0.366,-1.4641288433382136
2,2,0.367,-1.463057790782736
2,2,0.368,-1.4619883040935673
