resolution,d,alpha,gamma,uniform_cost_numeric,uniform_cost_used,adversarial_cost,stationary_iterations,stationary_residual
low_uniform,2,2.5,0.55820887579077838,0.22655415787856853,0.22655415787856853,0.67664547725469826,28,1.1275405585455051e-14
low_adversarial,2,2.5,0.6135117904356906,0.23128120529059362,0.23128120529059362,0.66316431494666461,33,1.2158303846359918e-14
low_balanced,2,2.5,0.58520897070806421,0.22770932137597732,0.22770932137597732,0.66654246048432841,30,1.588753579894407e-14
medium_uniform,2,2.5,0.55820887579077838,0.22654381048343125,0.22654381048343125,0.67664547725469826,28,1.1123285324127143e-14
medium_adversarial,2,2.5,0.6135117904356906,0.23126894212573759,0.23126894212573759,0.66316431494666461,33,1.2057693231831516e-14
medium_balanced,2,2.5,0.58520897070806421,0.22769813284628063,0.22769813284628063,0.66654246048432841,30,1.5749316572415038e-14
high_uniform,2,2.5,0.55820887579077838,0.22653924612009971,0.22653924612009971,0.67664547725469826,28,1.1205460174765389e-14
high_adversarial,2,2.5,0.6135117904356906,0.23126360538006116,0.23126360538006116,0.66316431494666461,33,1.2000100283201965e-14
high_balanced,2,2.5,0.58520897070806421,0.22769323243758666,0.22769323243758666,0.66654246048432841,30,1.5675376762972256e-14
low_uniform,2,3,0.54599629278250317,0.16154165057717865,0.16154165057717865,0.55499982038615703,27,1.185541236449969e-14
low_adversarial,2,3,0.58578643762690508,0.16431813391535993,0.16431813391535993,0.545819714368591,30,1.6791101304211982e-14
low_balanced,2,3,0.56548810377411907,0.16222293700364782,0.16222293700364782,0.54811944917151212,29,7.1108486586639972e-15
medium_uniform,2,3,0.54599629278250317,0.16153223117280643,0.16153223117280643,0.55499982038615703,27,1.1796437524774743e-14
medium_adversarial,2,3,0.58578643762690508,0.16430759832634473,0.16430759832634473,0.545819714368591,30,1.6677517444482005e-14
medium_balanced,2,3,0.56548810377411907,0.16221305811811459,0.16221305811811459,0.54811944917151212,29,7.1549204422865502e-15
high_uniform,2,3,0.54599629278250317,0.16152812206031922,0.16152812206031922,0.55499982038615703,27,1.1643627766829596e-14
high_adversarial,2,3,0.58578643762690508,0.16430299547234439,0.16430299547234439,0.545819714368591,30,1.6644094727030764e-14
high_balanced,2,3,0.56548810377411907,0.16220869813579888,0.16220869813579888,0.54811944917151212,29,7.033448534919123e-15
low_uniform,10,1.25,0.76339313409776777,0.84146589930061522,0.84146589930061522,1.0283378820352322,59,1.9916767506803954e-14
low_adversarial,10,1.25,0.94117647058823528,0.86512667670466969,0.86512667670466969,0.99233660006807245,248,1.9273137074669405e-14
low_balanced,10,1.25,0.86171493313489456,0.84821023070767332,0.84821023070767332,1.0002592129510737,105,1.6702711448762025e-14
medium_uniform,10,1.25,0.76339313409776777,0.84134307094072669,0.84134307094072669,1.0283378820352322,60,1.1629565377496286e-14
medium_adversarial,10,1.25,0.94117647058823528,0.8649330363712352,0.8649330363712352,0.99233660006807245,248,1.9546994260640414e-14
medium_balanced,10,1.25,0.86171493313489456,0.84806829442000686,0.84806829442000686,1.0002592129510737,105,1.6833496488585805e-14
high_uniform,10,1.25,0.76339313409776777,0.8412949679610302,0.8412949679610302,1.0283378820352322,60,1.1683433505209162e-14
high_adversarial,10,1.25,0.94117647058823528,0.86485382894096796,0.86485382894096796,0.99233660006807245,248,1.9881504436250995e-14
high_balanced,10,1.25,0.86171493313489456,0.8480116953082002,0.8480116953082002,1.0002592129510737,105,1.6809304972739721e-14
low_uniform,10,1.5,0.65080094972611857,0.73102858744364074,0.73102858744364074,0.97530161018276751,38,1.885121762083319e-14
low_adversarial,10,1.5,0.80000000000000004,0.75552222095631538,0.75552222095631538,0.94280904158206347,71,1.8353437019815512e-14
low_balanced,10,1.5,0.72498668865907478,0.73716234238861267,0.73716234238861267,0.95070910277193288,50,1.91376365253822e-14
medium_uniform,10,1.5,0.65080094972611857,0.73092050867805625,0.73092050867805625,0.97530161018276751,38,1.8784633171764234e-14
medium_adversarial,10,1.5,0.80000000000000004,0.75539575898012989,0.75539575898012989,0.94280904158206347,71,1.8280918413078144e-14
medium_balanced,10,1.5,0.72498668865907478,0.73704762514369049,0.73704762514369049,0.95070910277193288,50,1.9225701010027263e-14
high_uniform,10,1.5,0.65080094972611857,0.7308790637691801,0.7308790637691801,0.97530161018276751,38,1.8904247643477427e-14
high_adversarial,10,1.5,0.80000000000000004,0.75534640321805291,0.75534640321805291,0.94280904158206347,71,1.825832188471727e-14
high_balanced,10,1.5,0.72498668865907478,0.73700330428838701,0.73700330428838701,0.95070910277193288,50,1.9191702055041998e-14
low_uniform,10,2,0.58113883008418976,0.54107474173758052,0.54092553389459774,0.82106723119177927,31,1.0686585062943317e-14
low_adversarial,10,2,0.66666666666666663,0.55571419366980834,0.55555555555555569,0.80000000000000027,41,9.4128999107121359e-15
low_balanced,10,2,0.6227766018055888,0.54463927799187029,0.54448672244019369,0.80526680776792336,35,1.3537252124502781e-14
medium_uniform,10,2,0.58113883008418976,0.54098475649274613,0.54092553389459774,0.82106723119177927,31,1.0681962768612867e-14
medium_adversarial,10,2,0.66666666666666663,0.55561876758967343,0.55555555555555569,0.80000000000000027,41,9.3767207329389018e-15
