dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,evaluation_resolution,radial_order,angular_order,state_bins,z_order,z,G_N,a_w,b_w,profile_sum,delta_N,w_N,Delta_N,H_N,row_error,cgal_version
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.067173686014596168e+00,3.357387466853269022e-03,1.455121489290885127e-03,6.880457745279559617e-04,2.143167263818840981e-03,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,3.996802888650563546e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.084305999115346086e+00,4.872728270961934095e-03,2.255802643171826022e-03,1.077889228890064081e-03,3.333691872061890320e-03,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,8.881784197001252323e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.101355666059376404e+00,6.627929335893706364e-03,3.209995887962067366e-03,1.549628747444826461e-03,4.759624635406894261e-03,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,5.329070518200751394e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.118281612705644745e+00,8.605870713343009501e-03,4.305457365425514882e-03,2.099332841720542419e-03,6.404790207146057734e-03,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,6.328271240363392280e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.135043062966142324e+00,1.078804589327403071e-02,5.529275422514718687e-03,2.722398871184931492e-03,8.251674293699650178e-03,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,5.440092820663267048e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.151599637039061541e+00,1.315475524520183515e-02,6.868008219717165568e-03,3.413604233130765764e-03,1.028161245284793177e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,3.885780586188047891e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.167911448687276810e+00,1.568529468729092449e-02,8.307812838987493551e-03,4.167161271874418767e-03,1.247497411086191318e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,4.440892098500626162e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.183939201327781188e+00,1.835814019914896317e-02,9.834565897999443876e-03,4.976775346876482521e-03,1.481134124487592726e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,4.884981308350688778e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.199644282700598641e+00,2.115112609407408806e-02,1.143397581464867564e-02,5.835705511813552536e-03,1.726968132646222731e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,8.881784197001252323e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.214988857889099272e+00,2.404161800588823159e-02,1.309168696767343265e-02,6.736827270929062091e-03,1.982851423860249387e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,9.992007221626408864e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.229935960467627432e+00,2.700667967697841648e-02,1.479337607163179816e-02,7.672696894771863924e-03,2.246607296640366208e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,6.661338147750939243e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.244449581556860585e+00,3.002323384330659109e-02,1.652484113245775502e-02,8.635616794376176422e-03,2.516045792683393317e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,4.551914400963141816e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.258494756572351658e+00,3.306821617948641628e-02,1.827208337804554425e-02,9.617701470796397728e-03,2.788978484884194198e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,1.021405182655144017e-14,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.272037649457275599e+00,3.611872355829953696e-02,2.002138257085472883e-02,1.061094357549102057e-02,3.063232614634574941e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,1.587618925213973853e-14,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.285045634196456454e+00,3.915215566082002469e-02,2.175936610987311629e-02,1.160727963619662823e-02,3.336664574606974798e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,1.443289932012703503e-14,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.297487373415291412e+00,4.214634915077205418e-02,2.347307232037638622e-02,1.259865502253958505e-02,3.607172734291597127e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,4.773959005888173124e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.309332893874235459e+00,4.507970674092989793e-02,2.515000831424646019e-02,1.357708774561019321e-02,3.872709605985664993e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,5.107025913275720086e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.320553658676957731e+00,4.793131795908663062e-02,2.677820278316055819e-02,1.453473070601487248e-02,4.131293348917543240e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,1.287858708565181587e-14,6.1.1-I-900
