lambda_ratio,log2N_left,log2N_right,beta_quotient
0.5,10.0,12.0,0.48394404879347125
0.5,12.0,14.0,0.49052776235841966
0.5,14.0,16.0,0.4941104849202422
0.5,16.0,18.0,0.4960824348959089
0.5,18.0,20.0,0.4973761807880707
0.5,20.0,22.0,0.4979318178685754
0.5,22.0,24.0,0.49844148280678546
0.5,24.0,26.0,0.49875124908991103
0.5,26.0,28.0,0.49888805548573245
0.5,28.0,30.0,0.4989085370657784
0.5,30.0,32.0,0.4990612968030108
0.6,10.0,12.0,0.4787390874840455
0.6,12.0,14.0,0.48673911394423935
0.6,14.0,16.0,0.491357749018443
0.6,16.0,18.0,0.49402877358487235
0.6,18.0,20.0,0.4956577098846999
0.6,20.0,22.0,0.4966033920629235
0.6,22.0,24.0,0.4973354990531089
0.6,24.0,26.0,0.49778905071239177
0.6,26.0,28.0,0.4980756032436175
0.6,28.0,30.0,0.49834002668081967
0.6,30.0,32.0,0.4985334681528406
0.7,10.0,12.0,0.4717581094711241
0.7,12.0,14.0,0.48146730998522985
0.7,14.0,16.0,0.48729310351069444
0.7,16.0,18.0,0.4908037594519922
0.7,18.0,20.0,0.4930665752070447
0.7,20.0,22.0,0.49446184366211454
0.7,22.0,24.0,0.495453431546534
0.7,24.0,26.0,0.49615846689852067
0.7,26.0,28.0,0.4966771061974079
0.7,28.0,30.0,0.49695475080401963
0.7,30.0,32.0,0.497584772372955
0.8,10.0,12.0,0.4625211871881056
0.8,12.0,14.0,0.47408941538969435
0.8,14.0,16.0,0.48125577123663094
0.8,16.0,18.0,0.48592399597001773
0.8,18.0,20.0,0.488938208144915
0.8,20.0,22.0,0.49090851060670104
0.8,22.0,24.0,0.49240818235113126
0.8,24.0,26.0,0.4933997702350451
0.8,26.0,28.0,0.4941474827021285
0.8,28.0,30.0,0.49479237295726886
0.8,30.0,32.0,0.49549309506170813
0.8499999999999999,10.0,12.0,0.4569496095255731
0.8499999999999999,12.0,14.0,0.4693091790914541
0.8499999999999999,14.0,16.0,0.4773699799433499
0.8499999999999999,16.0,18.0,0.4825600725670132
0.8499999999999999,18.0,20.0,0.48598119390477135
0.8499999999999999,20.0,22.0,0.4883584055293054
0.8499999999999999,22.0,24.0,0.4900768764325397
0.8499999999999999,24.0,26.0,0.4913005510838027
0.8499999999999999,26.0,28.0,0.4922627494617343
0.8499999999999999,28.0,30.0,0.4932516716112276
0.8499999999999999,30.0,32.0,0.493791247854148
0.9,10.0,12.0,0.4507103832177464
0.9,12.0,14.0,0.46392133174895395
0.9,14.0,16.0,0.4725748749593473
0.9,16.0,18.0,0.4783893762559926
0.9,18.0,20.0,0.4822662596250606
0.9,20.0,22.0,0.48505168006095845
0.9,22.0,24.0,0.4869433922827999
0.9,24.0,26.0,0.48852000675337154
0.9,26.0,28.0,0.4897725080523788
0.9,28.0,30.0,0.49056311262699503
0.9,30.0,32.0,0.49160435660330304
0.925,10.0,12.0,0.4473947498253105
0.925,12.0,14.0,0.46076168668436013
0.925,14.0,16.0,0.46987768947830727
0.925,16.0,18.0,0.4759291536475007
0.925,18.0,20.0,0.48006716542439304
0.925,20.0,22.0,0.4830241796645549
0.925,22.0,24.0,0.48510723048190835
0.925,24.0,26.0,0.48675563014385886
0.925,26.0,28.0,0.4879964913493442
0.925,28.0,30.0,0.4890548143861588
0.925,30.0,32.0,0.4901073505944855
0.95,10.0,12.0,0.4437696980145289
0.95,12.0,14.0,0.4575105116368738
0.95,14.0,16.0,0.46690450690373625
0.95,16.0,18.0,0.4732332678151075
0.95,18.0,20.0,0.47757425828174954
0.95,20.0,22.0,0.4806945212599628
0.95,22.0,24.0,0.4829246524808054
0.95,24.0,26.0,0.4847307954811985
0.95,26.0,28.0,0.48606942885940674
0.95,28.0,30.0,0.4872739215774538
0.95,30.0,32.0,0.48827476525166724
0.975,10.0,12.0,0.4399661809145793
0.975,12.0,14.0,0.45399985569559337
0.975,14.0,16.0,0.46365497937023165
0.975,16.0,18.0,0.4702012397917742
0.975,18.0,20.0,0.47480665369419883
0.975,20.0,22.0,0.4780283727991721
0.975,22.0,24.0,0.480443037566906
