dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,delta_128,delta_256,delta_512,objective_256,objective_512,beta_512,scale_type,theory_scale,collapse_ratio,location_rel_change,value_rel_change,derivative_scaled,neighbor_left,neighbor_right,first_order_ok,neighbor_ok,accepted
phase_regimes,1,4,2,5.000000000000000000e-01,4.152787295564890901e-01,2.076393647782445451e-01,2.000000000000000000e+01,1048576,1.014978014092945413e+00,1.363267323028050093e-03,1.363352259654559973e-03,1.363406312990367297e-03,6.957469166999253212e+05,6.957469154700151412e+05,4.759284358184628916e-01,subcritical,1.413229928477798556e-03,9.647448624718154564e-01,3.964580132298876897e-05,1.767755131392536561e-09,1.686573929319102794e-08,3.926092665642499924e-02,3.886255377437919378e-02,1,1,1
phase_regimes,1,4,2,5.000000000000000000e-01,4.152787295564890901e-01,2.076393647782445451e-01,2.800000000000000000e+01,268435456,1.010698581494960946e+00,8.594240190418211967e-05,8.591972344440534926e-05,8.592312993571660229e-05,1.783237722225665152e+08,1.783237713205837011e+08,4.823783545311167154e-01,subcritical,8.814007616757806994e-05,9.748474663483787106e-01,3.964580100610396525e-05,5.058118765624422186e-09,2.688202206896383190e-10,6.057666540145874023e-01,6.048903167247772217e-01,1,1,1
phase_regimes,1,4,2,5.999999999999999778e-01,4.152787295564890901e-01,2.491672377338934319e-01,1.200000000000000000e+01,4096,1.029956028185890826e+00,2.291202690559912547e-02,2.290598088561301982e-02,2.290507275964648315e-02,2.712856029165752261e+03,2.712856006146258096e+03,4.540157536737276511e-01,subcritical,2.560156324709962627e-02,8.946747719493798323e-01,3.964737314157660577e-05,8.485335791100654014e-09,1.417691444818977927e-07,2.593645522210863419e-03,2.589505887499399250e-03,1,1,1
phase_regimes,1,4,2,5.999999999999999778e-01,4.152787295564890901e-01,2.491672377338934319e-01,2.000000000000000000e+01,1048576,1.017973616911534540e+00,1.497288364045612497e-03,1.496893259962939204e-03,1.496952607848545114e-03,6.950369646328897215e+05,6.950369633338209242e+05,4.691877868474620406e-01,subcritical,1.590738347582884528e-03,9.410426360332319051e-01,3.964580127303126041e-05,1.869064331699146242e-09,6.556890841990705795e-09,3.674029442481696606e-02,3.665013902354985476e-02,1,1,1
phase_regimes,1,4,2,5.999999999999999778e-01,4.152787295564890901e-01,2.491672377338934319e-01,2.800000000000000000e+01,268435456,1.012838297793953179e+00,9.495155029115576184e-05,9.490735803285854644e-05,9.489142009444506698e-05,1.781968177547986805e+08,1.781968168998852074e+08,4.772629581104758656e-01,subcritical,9.916949926679168557e-05,9.568609380507461237e-01,1.679597417513247187e-04,4.797579934379979029e-09,7.623392964422792904e-10,5.633049905300140381e-01,5.589083135128021240e-01,1,1,1
phase_regimes,1,4,2,6.999999999999999556e-01,4.152787295564890901e-01,2.906951106895423464e-01,1.200000000000000000e+01,4096,1.034948699550205964e+00,2.494833059871992553e-02,2.494988497254124749e-02,2.495087416994057339e-02,2.707117350045975400e+03,2.707117327522670166e+03,4.437304856314261969e-01,subcritical,2.979002177847181812e-02,8.375581043707620577e-01,3.964580128890365495e-05,8.320032901546453814e-09,5.628632022752323520e-08,2.514149364287732169e-03,2.522080534163251286e-03,1,1,1
phase_regimes,1,4,2,6.999999999999999556e-01,4.152787295564890901e-01,2.906951106895423464e-01,2.000000000000000000e+01,1048576,1.020969219730123445e+00,1.665644492180762271e-03,1.665204962324584592e-03,1.665270983327027388e-03,6.943269506250891136e+05,6.943269492339679273e+05,4.615013661943517809e-01,subcritical,1.849223663966139113e-03,9.005243745126116917e-01,3.964580125625725011e-05,2.003553495728200730e-09,8.075737503263415804e-09,3.442749870009720325e-02,3.432106110267341137e-02,1,1,1
phase_regimes,1,4,2,6.999999999999999556e-01,4.152787295564890901e-01,2.906951106895423464e-01,2.800000000000000000e+01,268435456,1.014978014092945413e+00,1.066442662988054124e-04,1.066161250362629431e-04,1.065982208265925379e-04,1.780700170735541880e+08,1.780700162728328705e+08,4.712688935891496955e-01,subcritical,1.152360746315168470e-04,9.250421030693293245e-01,1.679597420254382413e-04,4.496665605414671130e-09,4.108760306378110818e-10,5.167805552482604980e-01,5.153918862342834473e-01,1,1,1
phase_regimes,1,4,2,8.000000000000000444e-01,4.152787295564890901e-01,3.322229836451913165e-01,1.200000000000000000e+01,4096,1.039941370914521102e+00,2.736884555995333645e-02,2.736714048527644216e-02,2.736605549306281304e-02,2.701318503793842865e+03,2.701318481639650145e+03,4.326223906863368440e-01,subcritical,3.676535800068617132e-02,7.443435065300347819e-01,3.964737314459376423e-05,8.201251674289422593e-09,1.949566733690025134e-07,2.444555824240524089e-03,2.482992653767723823e-03,1,1,1
phase_regimes,1,4,2,8.000000000000000444e-01,4.152787295564890901e-01,3.322229836451913165e-01,2.000000000000000000e+01,1048576,1.023964822548712572e+00,1.883940935016870100e-03,1.884058311546699116e-03,1.884133009509625367e-03,6.936164584524624515e+05,6.936164569402296329e+05,4.525941734859278420e-01,subcritical,2.280062807308952996e-03,8.263513634229119331e-01,3.964580130449096531e-05,2.180214733242813981e-09,2.016198063473889086e-09,3.207246877718716860e-02,3.227893589064478874e-02,1,1,1
phase_regimes,1,4,2,8.000000000000000444e-01,4.152787295564890901e-01,3.322229836451913165e-01,2.800000000000000000e+01,268435456,1.017117730391937647e+00,1.226650337579071603e-04,1.226326649391706880e-04,1.226120710473566078e-04,1.779433607209521532e+08,1.779433599846255481e+08,4.640575486253060711e-01,subcritical,1.420255014143891449e-04,8.633102494009875505e-01,1.679597419582466548e-04,4.137983036541388402e-09,6.416656831573986557e-10,4.678370654582977295e-01,4.740930497646331787e-01,1,1,1
phase_regimes,1,4,2,8.499999999999999778e-01,4.152787295564890901e-01,3.529869201230156905e-01,1.200000000000000000e+01,4096,1.042437706596678559e+00,2.874032155784733700e-02,2.873273756891170372e-02,2.873387674647953638e-02,2.698392524795220652e+03,2.698392502806157154e+03,4.267586280643198005e-01,subcritical,4.261520919814915098e-02,6.742634211385614140e-01,3.964580129175338549e-05,8.148949226316394904e-09,1.969921484650722629e-08,2.435129808418423636e-03,2.456557981986406958e-03,1,1,1
phase_regimes,1,4,2,8.499999999999999778e-01,4.152787295564890901e-01,3.529869201230156905e-01,2.000000000000000000e+01,1048576,1.025462623958007136e+00,2.019385499459791511e-03,2.019918515057339548e-03,2.019838433769294284e-03,6.932608550165342167e+05,6.932608534296064172e+05,4.475772193892507134e-01,subcritical,2.641608520427879761e-03,7.646244392950879432e-01,3.964737312965241475e-05,2.289077468686340634e-09,4.964471098627395785e-09,3.100895672105252743e-02,3.131710016168653965e-02,1,1,1
phase_regimes,1,4,2,8.499999999999999778e-01,4.152787295564890901e-01,3.529869201230156905e-01,2.800000000000000000e+01,268435456,1.018187588541433763e+00,1.331090601883744284e-04,1.330739354025167742e-04,1.330686595797381244e-04,1.778800823007365763e+08,1.778800816017727852e+08,4.598407697428492646e-01,subcritical,1.645123675581239514e-04,8.088672089210774407e-01,3.964737298257963789e-05,3.929410110665292944e-09,7.678852677232145678e-10,4.451230764389038086e-01,4.526858329772949219e-01,1,1,1
phase_regimes,1,4,2,9.000000000000000222e-01,4.152787295564890901e-01,3.737508566008401756e-01,1.200000000000000000e+01,4096,1.044934042278836239e+00,3.022899388271638177e-02,3.022711062125893466e-02,3.022591224323767367e-02,2.695446473529059858e+03,2.695446451617378898e+03,4.206725256586512640e-01,subcritical,5.239183074669781504e-02,5.769203292279068140e-01,3.964737314186774793e-05,8.129147194588614348e-09,2.388454175735968380e-07,2.412061214727145853e-03,2.459257852478913264e-03,1,1,1
phase_regimes,1,4,2,9.000000000000000222e-01,4.152787295564890901e-01,3.737508566008401756e-01,2.000000000000000000e+01,1048576,1.026960425367301699e+00,2.178391429049519878e-03,2.178527150940690049e-03,2.178613523819539211e-03,6.929048870151503943e+05,6.929048853430990130e+05,4.421186996541261460e-01,subcritical,3.246115525900402157e-03,6.711447902690521605e-01,3.964580128821225923e-05,2.413103755924347191e-09,1.869957276015168969e-09,3.017131867818534374e-02,3.031314036343246698e-02,1,1,1
phase_regimes,1,4,2,9.000000000000000222e-01,4.152787295564890901e-01,3.737508566008401756e-01,2.800000000000000000e+01,268435456,1.019257446690929880e+00,1.459705287686352548e-04,1.459025913069789127e-04,1.458780896606004518e-04,1.778168336602249742e+08,1.778168330029538870e+08,4.551053274064835730e-01,subcritical,2.021179365139731449e-04,7.217473727301553232e-01,1.679597425183337878e-04,3.696337832980799237e-09,9.357177443810335024e-10,4.299044907093048096e-01,4.255408048629760742e-01,1,1,1
phase_regimes,1,4,2,9.250000000000000444e-01,4.152787295564890901e-01,3.841328248397524181e-01,1.200000000000000000e+01,4096,1.046182210119914968e+00,3.101456779868116964e-02,3.101650012165069192e-02,3.101772984440465120e-02,2.693965325923285036e+03,2.693965304061068764e+03,4.175635907413471348e-01,subcritical,6.061197399809049868e-02,5.117426112104817015e-01,3.964580129261473669e-05,8.115255322341128127e-09,1.120065252920241931e-07,2.428362960472441046e-03,2.438890001940308139e-03,1,1,1
phase_regimes,1,4,2,9.250000000000000444e-01,4.152787295564890901e-01,3.841328248397524181e-01,2.000000000000000000e+01,1048576,1.027709326071948981e+00,2.268568919754576640e-03,2.268427588275723217e-03,2.268517525470747920e-03,6.927267293103012489e+05,6.927267275911900215e+05,4.392017239682643459e-01,subcritical,3.754545624885140351e-03,6.042056089117698869e-01,3.964580128427255991e-05,2.481658580445202846e-09,4.096184029028437675e-09,2.966850716620683670e-02,2.998875698540359735e-02,1,1,1
phase_regimes,1,4,2,9.250000000000000444e-01,4.152787295564890901e-01,3.841328248397524181e-01,2.800000000000000000e+01,268435456,1.019792375765677939e+00,1.535314144736066311e-04,1.534909006419837851e-04,1.534651246791751689e-04,1.777852194253199399e+08,1.777852187908009589e+08,4.524929122373079204e-01,subcritical,2.337511433444562647e-04,6.565320814411100825e-01,1.679597424007697347e-04,3.569019884192706413e-09,8.659400816408190942e-10,4.134694337844848633e-01,4.220062494277954102e-01,1,1,1
phase_regimes,1,4,2,9.499999999999999556e-01,4.152787295564890901e-01,3.945147930786646051e-01,1.200000000000000000e+01,4096,1.047430377960993697e+00,3.185076858295565749e-02,3.184878428519521965e-02,3.184752161462212072e-02,2.692478433873840913e+03,2.692478412041385127e+03,4.143895903302007855e-01,subcritical,7.437530526374196149e-02,4.282002137898830441e-01,3.964737314187720760e-05,8.108683690354852480e-09,7.305133527354490399e-08,2.418314104488672456e-03,2.450000001317675924e-03,1,1,1
phase_regimes,1,4,2,9.499999999999999556e-01,4.152787295564890901e-01,3.945147930786646051e-01,2.000000000000000000e+01,1048576,1.028458226776596263e+00,2.366109811669403484e-03,2.366257229114210325e-03,2.366351044997494490e-03,6.925484327976957429e+05,6.925484310279670171e+05,4.361560086618671561e-01,subcritical,4.606026837986803256e-03,5.137510327733514348e-01,3.964580127808740336e-05,2.555386232193499516e-09,2.380631906271589586e-09,2.937508304603397846e-02,2.953017875552177429e-02,1,1,1
phase_regimes,1,4,2,9.499999999999999556e-01,4.152787295564890901e-01,3.945147930786646051e-01,2.800000000000000000e+01,268435456,1.020327304840425997e+00,1.620756454722149797e-04,1.620002123827735119e-04,1.619730074382541574e-04,1.777536111918619275e+08,1.777536105814502835e+08,4.497128203357175225e-01,subcritical,2.867334422411328817e-04,5.648905344708290421e-01,1.679597418707270094e-04,3.434032321398223896e-09,2.577785650665329601e-10,4.060672223567962646e-01,4.105002284049987793e-01,1,1,1
phase_regimes,1,4,2,9.749999999999999778e-01,4.152787295564890901e-01,4.048967613175768476e-01,1.200000000000000000e+01,4096,1.048678545802072648e+00,3.270218764622156993e-02,3.271081936913644572e-02,3.271211626719772170e-02,2.690985543097300706e+03,2.690985521299958691e+03,4.111692578402381670e-01,subcritical,1.053823020055263959e-01,3.104137568135705849e-01,3.964580128912196583e-05,8.100133517023392832e-09,1.419704026794992229e-07,2.416984284081991063e-03,2.457370926094881725e-03,1,1,1
phase_regimes,1,4,2,9.749999999999999778e-01,4.152787295564890901e-01,4.048967613175768476e-01,2.000000000000000000e+01,1048576,1.029207127481243544e+00,2.472533018943012806e-03,2.473185642557940156e-03,2.473283697871919706e-03,6.923699778419416398e+05,6.923699760182764148e+05,4.329678275593226711e-01,subcritical,6.524756563510237216e-03,3.790614521473156806e-01,3.964580127379637510e-05,2.633946138789380805e-09,2.188977026055215599e-09,2.903458988294005394e-02,2.921061601955443621e-02,1,1,1
phase_regimes,1,4,2,9.749999999999999778e-01,4.152787295564890901e-01,4.048967613175768476e-01,2.800000000000000000e+01,268435456,1.020862233915174055e+00,1.717341927695015258e-04,1.716542644083496327e-04,1.716034202755567506e-04,1.777220083006829321e+08,1.777220077159092426e+08,4.467369311310290803e-01,subcritical,4.061362708609516444e-04,4.225267049204486924e-01,2.962885746172064304e-04,3.290384218724367705e-09,6.203297076685731606e-10,4.002498686313629150e-01,3.987882435321807861e-01,1,1,1
phase_regimes,1,4,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,1.200000000000000000e+01,4096,1.049926713643151377e+00,3.360358287376030706e-02,3.361245251940758738e-02,3.361111992679410854e-02,2.689486394779830789e+03,2.689486372978471536e+03,4.079097979621280068e-01,critical,3.601264121706936050e-02,9.333144915475687364e-01,3.964737314261666736e-05,8.106142299899544497e-09,1.126996288487362616e-07,2.435595736642426345e-03,2.449929557769792154e-03,1,1,1
phase_regimes,1,4,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.000000000000000000e+01,1048576,1.029956028185890826e+00,2.589954555049511775e-03,2.590115918854718480e-03,2.590218610147076994e-03,6.921913426554058678e+05,6.921913407739651157e+05,4.296355210273661851e-01,critical,2.643012551379344665e-03,9.800250887175260273e-01,3.964580130658677554e-05,2.718093453873854657e-09,1.102927880854710529e-08,2.887113974429666996e-02,2.881952305324375629e-02,1,1,1
phase_regimes,1,4,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.800000000000000000e+01,268435456,1.021397162989921892e+00,1.827653040622490010e-04,1.826206580486378073e-04,1.825899902809791087e-04,1.776904099748350084e+08,1.776904094172508717e+08,4.435394536312246005e-01,critical,1.848511702308675247e-04,9.877675648627793903e-01,1.679597419962914175e-04,3.137952906705045808e-09,6.122217155808042158e-10,3.922923803329467773e-01,3.911602497100830078e-01,1,1,1
phase_regimes,1,4,2,1.024999999999999911e+00,4.152787295564890901e-01,4.256606977954012772e-01,1.200000000000000000e+01,4096,1.051174881484230106e+00,3.455069816780620418e-02,3.455285080485459570e-02,3.455148092939752669e-02,2.687980726397669514e+03,2.687980704558540765e+03,4.045923868097191511e-01,supercritical,1.601031957822214233e-02,2.158075656178393142e+00,3.964737314351927922e-05,8.124734196172795385e-09,9.846323594023828732e-08,2.432195158235117560e-03,2.470674593041621847e-03,1,1,1
phase_regimes,1,4,2,1.024999999999999911e+00,4.152787295564890901e-01,4.256606977954012772e-01,2.000000000000000000e+01,1048576,1.030704928890538108e+00,2.719261591122013044e-03,2.718544033046721431e-03,2.718651816176365088e-03,6.920125030815917999e+05,6.920125011388806161e+05,4.261446445325897114e-01,supercritical,1.070718264089774371e-03,2.539091661509586206e+00,3.964580127632827178e-05,2.807335388600745706e-09,5.720986326856762165e-09,2.857514400966465473e-02,2.868937549646943808e-02,1,1,1
phase_regimes,1,4,2,1.024999999999999911e+00,4.152787295564890901e-01,4.256606977954012772e-01,2.800000000000000000e+01,268435456,1.021932092064669950e+00,1.953370468550374994e-04,1.952461332764832136e-04,1.952133452933768609e-04,1.776588152949150503e+08,1.776588147661591768e+08,4.400950248886411065e-01,supercritical,7.160367470894840537e-05,2.726303448627068970e+00,1.679597419791006873e-04,2.976243391793778441e-09,1.008514902177278313e-09,3.798754215240478516e-01,3.905057609081268311e-01,1,1,1
phase_regimes,1,4,2,1.050000000000000044e+00,4.152787295564890901e-01,4.360426660343135752e-01,1.200000000000000000e+01,4096,1.052423049325308835e+00,3.552822524248078206e-02,3.553043878310291337e-02,3.552903015038710866e-02,2.686468272748612890e+03,2.686468250881314361e+03,4.012381568641654739e-01,supercritical,1.763411986963854192e-02,2.014788966675849835e+00,3.964737314365914808e-05,8.139794140952052117e-09,7.019691882623583682e-08,2.444591029416187666e-03,2.481537593212124193e-03,1,1,1
