dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,delta_128,delta_256,delta_512,objective_256,objective_512,beta_512,scale_type,theory_scale,collapse_ratio,location_rel_change,value_rel_change,derivative_scaled,neighbor_left,neighbor_right,first_order_ok,neighbor_ok,accepted,log_normalized_distance,stationary_scale,correction_balance
phase_regimes,3,4,2,1.2,0.41527872955648903,0.49833447546778686,16.0,65536,1.0449340422788362,0.013342734663141951,0.013339213785623085,0.013339742650409492,43043.16348477285,43043.16327162168,0.389257834711132,supercritical,0.009113143847335458,1.463791516284452,3.964580129231762e-05,4.952033162033426e-09,5.849767945800574e-08,0.008519208837242331,0.008549135462089907,1,1,1,0.38102999848876573,0.009113143847335456,0.2708441458677094
phase_regimes,2,4,2,1.2,0.41527872955648903,0.49833447546778686,22.0,4194304,1.0326793034755173,0.0022267630964399876,0.002226624369457197,0.0022265360931499334,2766019.1125684814,2766019.1061123074,0.4004992402707834,supercritical,0.001611050096541115,1.382040259288182,3.964737312619047e-05,2.3341031673018596e-09,3.1306077620062908e-09,0.056853446643799536,0.05743735749274492,1,1,1,0.3235608560993082,0.001611050096541115,0.2651522175196583
phase_regimes,1,4,2,1.2,0.41527872955648903,0.49833447546778686,28.0,268435456,1.0256765955879064,0.0003647824536684441,0.0003643748693217264,0.00036436042338805485,177437632.70805383,177437632.40898857,0.40794093273481,supercritical,0.0002848020302139097,1.279346299302678,3.9647373161924567e-05,1.6854671008696986e-09,6.342147818820695e-10,0.41030687093734736,0.42225462198257446,1,1,1,0.24634924380820658,0.0002848020302139097,0.2619021016725205
phase_regimes,3,4,2,1.2,0.41527872955648903,0.49833447546778686,32.0,4294967296,1.022467021139418,0.00010948156302403866,0.00010928790912667628,0.00010921018617382484,2842024184.548451,2842024172.4528008,0.4112689048438492,supercritical,8.970787217971446e-05,1.2173980222721235,0.0007116822667782897,4.255998184842728e-09,2.1018742758384664e-10,1.6187095642089844,1.6229338645935059,1,1,1,0.19671581252578704,8.970787217971446e-05,0.2604130514561159
phase_regimes,3,4,2,1.25,0.41527872955648903,0.5190984119456113,16.0,65536,1.0468062940404543,0.014651148709063588,0.014652061530140537,0.01465148063742061,43011.9386996775,43011.93848997968,0.38080060769107343,supercritical,0.010963279190885324,1.336414076693549,3.964737314276321e-05,4.875339914896196e-09,4.574122924809678e-09,0.008810862098471262,0.008953053998993708,1,1,1,0.2899899647385762,0.010963279190885324,0.22084565132995332
phase_regimes,2,4,2,1.25,0.41527872955648903,0.5190984119456113,22.0,4194304,1.0340409411203304,0.0025986952459706725,0.002598533347674792,0.0025984303267380104,2764726.4288090523,2764726.421555135,0.39037017768091686,supercritical,0.00207723176300014,1.2509101646823968,3.9647373154974383e-05,2.623737865431761e-09,4.6515997033035996e-10,0.06073914607986808,0.06192247942090034,1,1,1,0.22387141810081654,0.0020772317630001398,0.21515301277331828
phase_regimes,1,4,2,1.25,0.41527872955648903,0.5190984119456113,28.0,268435456,1.0267464537374025,0.0004575357309059002,0.0004569323773386813,0.0004569142618884303,177374363.9644477,177374363.72031885,0.39627817516978714,supercritical,0.00039357034468216306,1.160946875348096,3.964737317700934e-05,1.376348013107438e-09,1.5768614457134228e-10,0.4690329134464264,0.4776561856269837,1,1,1,0.14923594400139517,0.000393570344682163,0.21190259225934643
phase_regimes,3,4,2,1.25,0.41527872955648903,0.5190984119456113,32.0,4294967296,1.0234031470202272,0.00014484734968533974,0.00014468550661472787,0.00014456406111351683,2841141521.902957,2841141511.59415,0.39862510747741314,supercritical,0.0001298310833333248,1.1134780470279753,0.0008400808629449551,3.6284031802504253e-09,1.8826661045624238e-10,1.9166603088378904,1.9787802696228027,1,1,1,0.10748849223398113,0.00012983108333332482,0.2104134269352329
phase_regimes,3,4,2,1.3,0.41527872955648903,0.5398623484234358,16.0,65536,1.0486785458020726,0.016127301312540143,0.0161262965842619,0.01612693594955994,42980.38432677196,42980.38411881428,0.3721489894546301,supercritical,0.013002825903375629,1.2402639295026836,3.964580128787501e-05,4.838432174909013e-09,1.4040415876320711e-08,0.009286516018619295,0.009435039064555895,1,1,1,0.21532420334150187,0.013002825903375629,0.17469331092841855
phase_regimes,2,4,2,1.3,0.41527872955648903,0.5398623484234358,22.0,4194304,1.0354025787651435,0.0030533242215354806,0.00305351445499491,0.003053393395967552,2763427.589002925,2763427.580872148,0.3797895821746833,supercritical,0.002626456875656274,1.1625522673790707,3.964737315474193e-05,2.942279635691054e-09,2.738264599777422e-11,0.06707384530454874,0.06846278952434659,1,1,1,0.15061781865494786,0.002626456875656178,0.16899996198446712
phase_regimes,1,4,2,1.3,0.41527872955648903,0.5398623484234358,28.0,268435456,1.0278163118868984,0.0005798832699889234,0.0005792353458867748,0.0005791380740052254,177311015.4220571,177311015.213585,0.384064465470514,supercritical,0.0005305122887140824,1.0916581695195184,0.000167959742098794,1.1757423690064292e-09,7.8976290418563e-10,0.5620900392532349,0.5693461000919342,1,1,1,0.08769779674257017,0.0005305122887140507,0.16574923674627196
phase_regimes,3,4,2,1.3,0.41527872955648903,0.5398623484234358,32.0,4294967296,1.0243392729010363,0.00019379121449913936,0.00019344843145041593,0.0001933757978788142,2840258618.387619,2840258609.9935527,0.3855095354758276,supercritical,0.00018263199266329831,1.0588276186381167,0.00037560838739094656,2.955387874681117e-09,4.0409948437671565e-10,2.433365821838379,2.539772987365722,1,1,1,0.05716227587960114,0.00018263199266329831,0.16425995629661663
phase_regimes,3,4,2,1.4,0.41527872955648903,0.5813902213790847,16.0,65536,1.0524230493253088,0.01958326403769206,0.01958843302854896,0.019587656429425504,42916.14887498631,42916.148663667926,0.3546194620932128,supercritical,0.01763411986963854,1.1107816309647784,3.964737314294206e-05,4.9239828503914255e-09,3.428907759276118e-08,0.010624783033563288,0.010912589597865008,1,1,1,0.10506393955178092,0.017634119869638542,0.0922787408860658
phase_regimes,2,4,2,1.4,0.41527872955648903,0.5813902213790847,22.0,4194304,1.03812585405477,0.004243576693668594,0.004243312319523017,0.004243480555709889,2760806.145118154,2760806.135143938,0.35820619172024687,supercritical,0.00399307960476801,1.0627087300345532,3.964580128547513e-05,3.6127912003804397e-09,6.07535839792193e-09,0.08744656341150403,0.09020655462518334,1,1,1,0.060821054319533975,0.003993079604768011,0.0865839706309813
phase_regimes,1,4,2,1.4,0.41527872955648903,0.5813902213790847,28.0,268435456,1.0299560281858908,0.0009301521233292531,0.0009297192128315811,0.000929756073756116,177183947.5481904,177183947.34023583,0.3596735754315273,supercritical,0.0009041786040721104,1.028288072255651,3.964580127560369e-05,1.1736647640577187e-09,1.0768998656566743e-10,0.8726428151130675,0.8941313922405243,1,1,1,0.02789535370664277,0.0009041786040721105,0.08333263577205495
phase_regimes,3,4,2,1.4,0.41527872955648903,0.5813902213790847,32.0,4294967296,1.0262115246626544,0.000341735824213929,0.0003411738616383442,0.0003411165677875694,2838491095.3911266,2838491090.323892,0.35992023600721246,supercritical,0.00033590479251886774,1.01551563236005,0.00016795974216789598,1.785186154099483e-09,1.5446649399831055e-10,4.316717624664307,4.4477171897888175,1,1,1,0.015396495676639012,0.00033590479251886774,0.08184312501786446
phase_regimes,3,4,2,1.5,0.41527872955648903,0.6229180943347337,16.0,65536,1.0561675528485452,0.023703798420483313,0.0237052752553194,0.023706215107212932,42850.20488558703,42850.204662538126,0.33741192792079294,supercritical,0.022962916362841226,1.0323695271378737,3.964580129230886e-05,5.205317132126168e-09,5.982965050874816e-08,0.012638160267670171,0.01304278301540762,1,1,1,0.03185667190003803,0.022962916362841222,0.020853182994143633
phase_regimes,2,4,2,1.5,0.41527872955648903,0.6229180943347337,22.0,4194304,1.0408491293443964,0.005826156399700744,0.005827694210205792,0.005827925262972712,2758144.3032644046,2758144.2916566352,0.33740008673597127,supercritical,0.005740990570907118,1.0151428034921604,3.964580129177792e-05,4.2085433716546064e-09,6.142338591724257e-09,0.12128965090960264,0.12371803121641278,1,1,1,0.015029295693129767,0.005740990570907118,0.015156990712168446
