N,family,case,case_index,r,alpha,H,delta_finite,delta_stationary_scale,finite_column,stationary_column
1048576,scaled_r,0.9,10,0.9,1.0269604253673017,0.251140171543871,0.0021855889329032143,0.00041858177306641395,20,21
1048576,scaled_r,0.95,11,0.95,1.0284582267765963,0.25150748208885343,0.002375483634255858,0.0006277971161831492,22,23
1048576,scaled_r,0.975,12,0.975,1.0292071274812435,0.2516911476756847,0.0024838026888404914,0.0007569514282303141,24,25
1048576,scaled_r,1,13,1.0,1.0299560281858908,0.25187482015540885,0.0026025054571983857,0.0009041786040721102,26,27
1048576,scaled_r,1.025,14,1.025,1.030704928890538,0.25205849954052195,0.0027328611407511035,0.0010707182640897735,28,29
1048576,scaled_r,1.05,15,1.05,1.0314538295951854,0.25224218584351743,0.0028762803581239968,0.0012577661785494632,30,31
1048576,scaled_r,1.1,16,1.1,1.03295163100448,0.25260957925312955,0.003208657810998522,0.0016979073834040715,32,33
1048576,scaled_r,1.15,17,1.15,1.0344494324137745,0.25297700048417116,0.003613599676466539,0.0022330387203520767,34,35
1048576,scaled_r,1.2,18,1.2,1.0359472338230689,0.2533444496365457,0.004106519260944897,0.0028705370800415518,36,37
1048576,scaled_r,1.3,19,1.3,1.038942836641658,0.25407943210476924,0.005416912826613232,0.00447638305717236,38,39
1048576,scaled_r,1.4,20,1.4,1.0419384394602471,0.254814527456505,0.007236688199837466,0.006551254556308476,40,41
1048576,scaled_r,1.45,21,1.45,1.0434362408695417,0.25518211771317695,0.008352643445148222,0.007770838101428185,42,43
1048576,scaled_r,1.5,22,1.5,1.0449340422788362,0.25554973649006174,0.00960731308987409,0.009113143847335456,44,45
1048576,scaled_r,1.55,23,1.55,1.0464318436881308,0.25591738388688395,0.01099897089538294,0.01057800883456746,46,47
1048576,scaled_r,1.6,24,1.6,1.0479296450974254,0.25628506000334694,0.012524661454166844,0.012164479277736132,48,49
1048576,scaled_r,1.75,25,1.75,1.0524230493253088,0.2573882616672324,0.017867322606935486,0.017634119869638545,50,51
1048576,scaled_r,2,26,2.0,1.0599120563717817,0.2592275147982836,0.029057573933729926,0.028931139262048385,52,53
1048576,scaled_r,2.25,27,2.25,1.0674010634182542,0.2610675083247692,0.04259714722343213,0.04252014496721873,54,55
1048576,scaled_r,2.5,28,2.5,1.074890070464727,0.26290825467344187,0.05791085366996095,0.05785969666311366,56,57
1048576,scaled_r,2.75,29,2.75,1.0823790775111997,0.26474976625653823,0.07448065596975134,0.07444437784208927,58,59
1048576,scaled_r,3,30,3.0,1.0898680845576725,0.26659205547206577,0.09186948432104261,0.09184243874965876,60,61
1048576,fixed_alpha,1.01,31,0.33382262621551356,1.01,0.24698280240676612,0.0011942818428382553,8.89030870783047e-10,62,63
1048576,fixed_alpha,1.03,32,1.0014678786465405,1.03,0.2518856047263533,0.002609824215494174,0.000913411442080404,64,65
1048576,fixed_alpha,1.05,33,1.6691131310775678,1.05,0.2567933324266264,0.014847354160139726,0.014554447210140093,66,67
1048576,fixed_alpha,1.075,34,2.503669696616348,1.075,0.262935280264487,0.05814616747081421,0.05809528966685378,68,69
1048576,fixed_alpha,1.1,35,3.3382262621551355,1.1,0.2690857575821216,0.11608324735247251,0.11606393119265018,70,71
1048576,fixed_alpha,1.2,36,6.676452524310263,1.2,0.2937821497998332,0.3276835625154793,0.32768,72,73
