N,family,case,case_index,r,alpha,H,delta_finite,delta_stationary_scale,finite_column,stationary_column
4096,scaled_r,1.025,14,1.025,1.05117488148423,0.25708179058823444,0.03628125323726288,0.016010319578222142,28,29
4096,scaled_r,1.05,15,1.05,1.0524230493253088,0.2573882616672324,0.03741488456688534,0.017634119869638545,30,31
4096,scaled_r,1.1,16,1.1,1.0549193850074665,0.2580012645457793,0.039846655628863296,0.02111252479482409,32,33
4096,scaled_r,1.15,17,1.15,1.057415720689624,0.258614348769197,0.04250940546612591,0.024884416365041694,34,35
4096,scaled_r,1.2,18,1.2,1.0599120563717817,0.2592275147982836,0.04541468612634628,0.028931139262048385,36,37
4096,scaled_r,1.3,19,1.3,1.0649047277360968,0.26045409411572984,0.05198067621603289,0.03776937924036913,38,39
4096,scaled_r,1.4,20,1.4,1.069897399100412,0.2616810061808378,0.05955626235558093,0.04746506121070713,40,41
4096,scaled_r,1.45,21,1.45,1.0723937347825694,0.2622945881438254,0.0637067204931428,0.05258453110415812,42,43
4096,scaled_r,1.5,22,1.5,1.074890070464727,0.26290825467344187,0.06808262503074984,0.05785969666311366,44,45
4096,scaled_r,1.55,23,1.55,1.0773864061468845,0.2635220062292227,0.0726681277749316,0.06327257362208592,46,47
4096,scaled_r,1.6,24,1.6,1.0798827418290422,0.2641358432705267,0.07744555066255594,0.06880613846441251,48,49
4096,scaled_r,1.75,25,1.75,1.0873717488755148,0.26597787189855426,0.09274167756922275,0.08597597722239422,50,51
4096,scaled_r,2,26,2.0,1.0998534272863028,0.2690496721457989,0.12038366910895733,0.11571076989121792,52,53
4096,scaled_r,2.25,27,2.25,1.1123351056970905,0.2721237126858257,0.14918005323516817,0.1457809920546696,54,55
4096,scaled_r,2.5,28,2.5,1.1248167841078782,0.2752000506867307,0.17796082128593443,0.17537162739594836,56,57
4096,scaled_r,2.75,29,2.75,1.1372984625186662,0.27827874321762297,0.20604482762066287,0.2039963271321685,58,59
4096,scaled_r,3,30,3.0,1.149780140929454,0.28135984725216273,0.2330580182924179,0.23138691614287415,60,61
4096,fixed_alpha,1.01,31,0.20029357572930812,1.01,0.24698280240676612,0.01739797495761828,8.89030870783047e-10,62,63
4096,fixed_alpha,1.03,32,0.6008807271879243,1.03,0.2518856047263533,0.023370535735528854,0.000913411442080404,64,65
4096,fixed_alpha,1.05,33,1.0014678786465405,1.05,0.2567933324266264,0.03526196674035342,0.014554447210140093,66,67
4096,fixed_alpha,1.075,34,1.5022018179698085,1.075,0.262935280264487,0.06828026635444027,0.05809528966685378,68,69
4096,fixed_alpha,1.1,35,2.002935757293081,1.1,0.2690857575821216,0.1207180181826701,0.11606393119265018,70,71
4096,fixed_alpha,1.2,36,4.005871514586158,1.2,0.2937821497998332,0.3285879911366657,0.32768,72,73
16384,scaled_r,0,0,0.0,1.0,0.24453317379349931,0.0077266086922516365,0.0,0,1
16384,scaled_r,0.1,1,0.1,1.0042794325979845,0.24558133433549273,0.008182906069037398,7.843096090652686e-22,2,3
16384,scaled_r,0.2,2,0.2,1.0085588651959687,0.246629706338868,0.008702093116844008,2.6948331546048125e-11,4,5
16384,scaled_r,0.3,3,0.3,1.0128382977939532,0.24767829214480783,0.00929878771394309,8.760784413054747e-08,6,7
16384,scaled_r,0.4,4,0.4,1.0171177303919376,0.2487270940926955,0.009992287608170182,4.995118485142303e-06,8,9
16384,scaled_r,0.5,5,0.5,1.021397162989922,0.24977611452014326,0.010808402318321374,5.6512597530214385e-05,10,11
16384,scaled_r,0.6,6,0.6,1.0256765955879064,0.2508253557630095,0.011782047734865844,0.0002848020302139094,12,13
16384,scaled_r,0.7,7,0.7,1.0299560281858908,0.25187482015540885,0.012960830438400685,0.0009041786040721102,14,15
16384,scaled_r,0.8,8,0.8,1.0342354607838753,0.25292451002974115,0.01440970599368236,0.002150483940969057,16,17
16384,scaled_r,0.85,9,0.85,1.0363751770828673,0.2534494402510387,0.015261773303317922,0.003072383003981226,18,19
16384,scaled_r,0.9,10,0.9,1.0385148933818595,0.2539744277166977,0.016216218772198924,0.0042188951856235715,20,21
16384,scaled_r,0.95,11,0.95,1.0406546096808518,0.25449947271779205,0.01728816093007203,0.005603051684551967,22,23
16384,scaled_r,0.975,12,0.975,1.0417244678303479,0.25476201688505923,0.017873366163805218,0.006387016102960424,24,25
16384,scaled_r,1,13,1.0,1.042794325979844,0.25502457554529057,0.01849433207302218,0.007233153061271782,26,27
16384,scaled_r,1.025,14,1.025,1.0438641841293401,0.2552871487348424,0.01915334952801982,0.008141822679437237,28,29
16384,scaled_r,1.05,15,1.05,1.0449340422788362,0.25554973649006174,0.019852755289847073,0.009113143847335456,30,31
16384,scaled_r,1.1,16,1.1,1.0470737585778285,0.2560749558428659,0.02138214885737212,0.011243115546373018,32,33
16384,scaled_r,1.15,17,1.15,1.0492134748768205,0.25660023389436326,0.02310102872097394,0.0136198662467327,34,35
16384,scaled_r,1.2,18,1.2,1.0513531911758127,0.2571255709351139,0.02502654640029434,0.01623746643671169,36,37
16384,scaled_r,1.3,19,1.3,1.0556326237737972,0.2581764231461045,0.029551572616048648,0.022161048265528775,38,39
