N,family,case,case_index,r,alpha,H,delta_finite,delta_stationary_scale,finite_column,stationary_column,trajectories,mean_finite,mean_stationary_scale,mean_difference,variance_difference,variance_stationary_scale,covariance_difference_stationary_scale,saving_estimate_pct,saving_standard_error_pct,saving_lower95_pct,saving_upper95_pct,saved_cost_per_input,N_delta_finite,N_delta_stationary_scale
1024,scaled_r,1.1,16,1.1,1.0659032620089597,0.2606994497911429,0.07369269683200372,0.03964510788384396,32,33,32768,669.0483566647655,669.8829880398395,-0.8346313750739252,1.5824730523973805,64.56598831889377,-1.447964996948584,0.12459360664108815,0.001036244776489208,0.1225625668791693,0.126624646403007,0.00081506970222063,75.46132155597181,40.59659047305622
1024,scaled_r,1.15,17,1.15,1.0688988648275488,0.2614355969713306,0.07767000835655688,0.045465065616917426,34,35,32768,667.9985490720097,668.5668376110149,-0.5682885390051069,1.1258697493832042,63.99570158181651,-0.8751121918471605,0.08500100618746935,0.0008761855396608943,0.08328368252973399,0.08671832984520471,0.0005549692763721747,79.53408855711425,46.556227191723444
1024,scaled_r,1.2,18,1.2,1.071894467646138,0.26217186500060524,0.08189906209489088,0.051547589900377964,36,37,32768,666.9404775355849,667.3103383176361,-0.36986078205115425,0.8194919374294402,63.678919964796755,-0.4961742548837653,0.05542560347313284,0.0007491674814828141,0.053957235209426524,0.05689397173683916,0.0003611921699718303,83.86463958516826,52.784732057987036
1024,scaled_r,1.3,19,1.3,1.077885673283316,0.2636447667839462,0.0911012613291095,0.06437015873781833,38,39,32768,664.79944248175,664.9067861245402,-0.1073436427902186,0.4590674594064938,63.504765964823136,-0.07078607222128516,0.016144164118985636,0.0005629145746102408,0.015040851552749564,0.017247476685221707,0.00010482777616232285,93.28769160100813,65.91504254752597
1024,scaled_r,1.4,20,1.4,1.0838768789204942,0.26511816149255957,0.10124098682146318,0.0778712894257309,40,41,32768,662.6257087911958,662.5799036514017,0.045805139794240585,0.2726901963305583,63.67748831622856,0.12340420202199441,-0.006913149575140104,0.0004353696898328738,-0.007766474167212537,-0.006059824983067672,-4.473158183031307e-05,103.6707705051783,79.74020037194845
1024,scaled_r,1.45,21,1.45,1.0868724817390834,0.2658550456770733,0.10662996129807766,0.08480982021426625,42,43,32768,661.5270446962751,661.4297184398965,0.09732625637857048,0.21396473178609002,63.8396060881361,0.17541015902289284,-0.014714527283130297,0.00038628819178832045,-0.015471652139035405,-0.013957402427225188,-9.504517224469773e-05,109.18908036923152,86.84525589940864
1024,scaled_r,1.5,22,1.5,1.0898680845576725,0.26659205547206577,0.11220939608364854,0.09184243874965876,44,45,32768,660.4208702730259,660.2834487330485,0.13742153997732479,0.1696357678678377,64.03579086302554,0.20904592877011505,-0.020812507149923134,0.00034450495544332524,-0.02148773686259205,-0.020137277437254218,-0.00013420072263410624,114.9024215896561,94.04665727965057
1024,scaled_r,1.55,23,1.55,1.0928636873762614,0.2673291916698509,0.11796057742498382,0.09894830034605684,46,47,32768,659.3075276396132,659.1386966054553,0.16883103415801615,0.1357698959588621,64.2578671962413,0.2298343364528669,-0.025613885973846017,0.00030868698848142607,-0.02621891247126961,-0.025008859476422424,-0.00016487405679493764,120.79163128318343,101.3230595543622
1024,scaled_r,1.6,24,1.6,1.0958592901948505,0.2680664550623911,0.12386396403042972,0.10610851039857547,48,49,32768,658.1874171688291,657.9938407017684,0.19357646706076576,0.10964128804434171,64.49999660633017,0.24148001017103587,-0.029419191349011897,0.0002778239985790628,-0.02996372638622686,-0.028874656311796934,-0.00018903951861402906,126.83669916716003,108.65511464814128
1024,scaled_r,1.75,25,1.75,1.1048460986506177,0.27027901632300344,0.1422911498389799,0.1277531405860932,50,51,32768,654.7909433673473,654.5494591381758,0.24148422917142484,0.06065948670441581,65.30348937556154,0.24629016064620338,-0.03689319818388962,0.00020756891633594616,-0.03730003325990808,-0.036486363107871164,-0.00023582444255021957,145.7061374351154,130.81921596015943
