d,alpha,delta,gamma,objective_minus_endpoint,series_order
2,1.350000000000000000e+01,2.800000000000000058e-02,9.719999999999999751e-01,-3.682119648521858801e-03,24
2,1.350000000000000000e+01,2.814285714285714307e-02,9.718571428571428639e-01,-3.711447762490133195e-03,24
2,1.350000000000000000e+01,2.828571428571428556e-02,9.717142857142857526e-01,-3.740876828941946952e-03,24
2,1.350000000000000000e+01,2.842857142857142805e-02,9.715714285714285303e-01,-3.770406745803839277e-03,24
2,1.350000000000000000e+01,2.857142857142857054e-02,9.714285714285714191e-01,-3.800037410817913575e-03,24
2,1.350000000000000000e+01,2.871428571428571649e-02,9.712857142857143078e-01,-3.829768721542808896e-03,24
2,1.350000000000000000e+01,2.885714285714285898e-02,9.711428571428570855e-01,-3.859600575353699936e-03,24
2,1.350000000000000000e+01,2.900000000000000494e-02,9.709999999999999742e-01,-3.889532869443212970e-03,24
2,1.350000000000000000e+01,2.914285714285714396e-02,9.708571428571428630e-01,-3.919565500821425852e-03,24
2,1.350000000000000000e+01,2.928571428571428298e-02,9.707142857142857517e-01,-3.949698366316645171e-03,24
2,1.350000000000000000e+01,2.942857142857142894e-02,9.705714285714285294e-01,-3.979931362576100140e-03,24
2,1.350000000000000000e+01,2.957142857142856796e-02,9.704285714285714182e-01,-4.010264386065665043e-03,24
2,1.350000000000000000e+01,2.971428571428571391e-02,9.702857142857143069e-01,-4.040697333071371911e-03,24
2,1.350000000000000000e+01,2.985714285714285640e-02,9.701428571428571956e-01,-4.071230099698758265e-03,24
2,1.350000000000000000e+01,3.000000000000000236e-02,9.699999999999999734e-01,-4.101862581874393676e-03,24
2,1.350000000000000000e+01,3.014285714285714138e-02,9.698571428571428621e-01,-4.132594675345685475e-03,24
2,1.350000000000000000e+01,3.028571428571428734e-02,9.697142857142857508e-01,-4.163426275681503252e-03,24
2,1.350000000000000000e+01,3.042857142857142635e-02,9.695714285714285285e-01,-4.194357278272956013e-03,24
2,1.350000000000000000e+01,3.057142857142857231e-02,9.694285714285714173e-01,-4.225387578333267280e-03,24
2,1.350000000000000000e+01,3.071428571428571133e-02,9.692857142857143060e-01,-4.256517070898996336e-03,24
2,1.350000000000000000e+01,3.085714285714286076e-02,9.691428571428570837e-01,-4.287745650829927202e-03,24
2,1.350000000000000000e+01,3.099999999999999978e-02,9.689999999999999725e-01,-4.319073212809776408e-03,24
2,1.350000000000000000e+01,3.114285714285714574e-02,9.688571428571428612e-01,-4.350499651346623198e-03,24
2,1.350000000000000000e+01,3.128571428571428475e-02,9.687142857142857499e-01,-4.382024860773534036e-03,24
2,1.350000000000000000e+01,3.142857142857143071e-02,9.685714285714285277e-01,-4.413648735248826283e-03,24
2,1.350000000000000000e+01,3.157142857142856973e-02,9.684285714285714164e-01,-4.445371168756845348e-03,24
2,1.350000000000000000e+01,3.171428571428571569e-02,9.682857142857143051e-01,-4.477192055107839797e-03,24
2,1.350000000000000000e+01,3.185714285714285471e-02,9.681428571428571939e-01,-4.509111287939390755e-03,24
2,1.350000000000000000e+01,3.200000000000000067e-02,9.679999999999999716e-01,-4.541128760715912316e-03,24
