resolution,d,alpha,gamma,uniform_cost_numeric,uniform_cost_used,adversarial_cost,stationary_iterations,stationary_residual
high,68,2,0.52559999999999996,0.6384381737401027,0.63842102329762529,0.86156018906416332,27,1.4904419221472325e-14
high,68,2,0.5272,0.63798426355301241,0.63796711516874949,0.86004564412019791,27,1.7129515351023862e-14
high,68,2,0.52880000000000005,0.6375443164573662,0.63752717051655838,0.85855307384798307,28,5.5250280925254468e-15
high,68,2,0.53039999999999998,0.63711829531987496,0.63710114554551567,0.85708235040793057,28,6.6237880647655386e-15
high,68,2,0.53200000000000003,0.63670614590811447,0.63668899664304368,0.85563334674038283,28,7.7034108138850462e-15
high,68,2,0.53359999999999996,0.63630783641736333,0.63629068037856773,0.85420593656026089,28,9.0865709964067207e-15
high,68,2,0.53520000000000001,0.63592330836460276,0.63590615350256829,0.85279999435175691,28,1.056920951555256e-14
high,68,2,0.53679999999999994,0.63555252987082722,0.63553537294563844,0.85141539536306721,28,1.2282841499130366e-14
high,68,2,0.53839999999999999,0.63519546000000504,0.63517829581754703,0.85005201560116483,28,1.4337803058339795e-14
high,68,2,0.54000000000000004,0.63485204016534202,0.63483487940630789,0.84870973182661491,28,1.6802759134175563e-14
high,68,2,0.54159999999999997,0.63452225203310375,0.63450508117725557,0.84738842154842742,28,1.9546106278038412e-14
high,68,2,0.54320000000000002,0.63420603169913548,0.63418885877212472,0.84608796301895084,29,6.7524091422830579e-15
high,68,2,0.54479999999999995,0.63390335143435828,0.63388617000813796,0.84480823522880666,29,7.968907532359834e-15
high,68,2,0.5464,0.63361415997299886,0.63359697287709693,0.84354911790185916,29,9.2631108542767335e-15
high,68,2,0.54800000000000004,0.63333841312687245,0.63332122554448145,0.84231049149022841,29,1.0959477837183398e-14
high,68,2,0.54959999999999998,0.63307608419491868,0.63305888634855079,0.84109223716933701,29,1.2916486901261665e-14
high,68,2,0.55120000000000002,0.63282711328664831,0.63280991379945473,0.83989423683299891,29,1.5019265357602158e-14
high,68,2,0.55279999999999996,0.63259147327222942,0.63257426657834692,0.83871637308854374,29,1.7566651856942212e-14
high,68,2,0.5544,0.63236911969979326,0.63235190353650472,0.83755852925197782,30,6.3413496667184819e-15
high,68,2,0.55600000000000005,0.63216000277607243,0.63214278369445476,0.83642058934318453,30,7.4472445702409259e-15
high,68,2,0.55759999999999998,0.63196410583520723,0.63194686624110352,0.83530243808115912,30,8.822190372343069e-15
high,68,2,0.55920000000000003,0.63178134682536091,0.63176411053287396,0.8342039608792815,30,1.0303252401395735e-14
high,68,2,0.56079999999999997,0.6316117274783315,0.63159447609284614,0.83312504384062513,30,1.2053777182724063e-14
high,68,2,0.56240000000000001,0.63145518170760673,0.63143792260990417,0.83206557375329993,30,1.4070298945041743e-14
high,68,2,0.56400000000000006,0.63131167611889505,0.63129440993788821,0.83102543808583151,30,1.6538030490917733e-14
high,68,2,0.56559999999999999,0.63118118794230149,0.63116389809475137,0.83000452498257771,30,1.9440306099674916e-14
high,68,2,0.56720000000000004,0.63106363274095423,0.63104634726172237,0.82900272325917634,31,7.3970890119897445e-15
high,68,2,0.56879999999999997,0.63095902907780266,0.63094171778247243,0.82801992239803135,31,8.7338047722283151e-15
high,68,2,0.57040000000000002,0.63086728357199162,0.63084997016228805,0.82705601254382866,31,1.0212890337679552e-14
high,68,2,0.57200000000000006,0.63078839497561789,0.63077106506724834,0.82611088449909043,31,1.1993773119427035e-14
high,68,2,0.5736,0.63072230739023105,0.63070496332340775,0.82518442971976125,31,1.4129415268332998e-14
high,68,2,0.57520000000000004,0.63066897535923772,0.63065162591598345,0.82427654031082587,31,1.6801565458499795e-14
high,68,2,0.57679999999999998,0.63062838631353257,0.63061101398854824,0.8233871090219651,31,1.9647314284257139e-14
high,68,2,0.57840000000000003,0.63060047234096572,0.63058308884222725,0.82251602924323786,32,7.7027785640941451e-15
high,68,2,0.57999999999999996,0.63058521629252495,0.63056781193490052,0.82166319500080109,32,9.0786588311664169e-15
high,68,2,0.58160000000000001,0.63058255567186294,0.63056514488041038,0.82082850095266024,32,1.0847506005219348e-14
high,68,2,0.58319999999999994,0.6305924807726585,0.63057504944777298,0.82001184238445057,32,1.2678911253019075e-14
high,68,2,0.58479999999999999,0.63061492851656009,0.63059748756039513,0.81921311520525253,32,1.4970984795010768e-14
high,68,2,0.58640000000000003,0.63064988527405852,0.63063242129529573,0.8184322159434364,32,1.7701146851872428e-14
high,68,2,0.58799999999999997,0.63069729111826867,0.63067981288233177,0.81766904174253985,33,7.2059031412045883e-15
high,68,2,0.58960000000000001,0.6307571275087438,0.63073962470342959,0.81692349035717582,33,8.44127254104755e-15
high,68,2,0.59119999999999995,0.63082933790415652,0.63081181929181929,0.81619546014896915,33,1.0097068211537058e-14
high,68,2,0.59279999999999999,0.63091389539538922,0.6308963593312763,0.81548485008252869,33,1.1962003722645321e-14
high,68,2,0.59440000000000004,0.63101075842495047,0.63099320765536526,0.81479155972144346,33,1.4186569724560744e-14
high,68,2,0.59599999999999997,0.63111990472464741,0.63110232724668813,0.81411548922431376,33,1.674209152401637e-14
high,68,2,0.59760000000000002,0.63124127069266123,0.63122368123613992,0.81345653934080886,33,1.9692092809187154e-14
high,68,2,0.59919999999999995,0.63137484560334234,0.6313572329021655,0.81281461140775502,34,8.4064589290396178e-15
high,68,2,0.6008,0.63152058227972785,0.63150294567002219,0.81218960734525281,34,9.8940242120191674e-15
high,68,2,0.60240000000000005,0.63167843405277069,0.63166078311104779,0.81158142965282487,34,1.1828646388421082e-14
high,68,2,0.60399999999999998,0.63184838951037525,0.63183070894193083,0.81098998140558798,34,1.402197977611728e-14
high,68,2,0.60560000000000003,0.63203038216265306,0.63201268702398739,0.81041516625046017,34,1.6467275853858667e-14
high,68,2,0.60719999999999996,0.63222441020095388,0.6322066813624404,0.80985688840238834,34,1.9632391774026038e-14
high,68,2,0.60880000000000001,0.63243039691246439,0.6324126561057043,0.80931505264061077,35,8.5847943205356946e-15
high,68,2,0.61040000000000005,0.63264834661376779,0.63263057554467395,0.80878956430494364,35,1.0370122521116611e-14
high,68,2,0.61199999999999999,0.63287819444476379,0.63286040411201694,0.80828032929209581,35,1.2128172073049557e-14
high,68,2,0.61360000000000003,0.63311992567440678,0.6331021063814718,0.80778725405201079,35,1.4574902265747662e-14
high,68,2,0.61519999999999997,0.63337349394557718,0.63335564706714786,0.8073102455842357,35,1.7285609383118705e-14
high,68,2,0.61680000000000001,0.63363885747707605,0.63362099102283176,0.80684921143431887,36,7.6508019341420736e-15
high,68,2,0.61840000000000006,0.63391600260476266,0.63389810324129658,0.80640405969023055,36,9.345786451682054e-15
high,68,2,0.62,0.63420487042517026,0.63418694885361548,0.80597469897881413,36,1.104933120346052e-14
high,68,2,0.62160000000000004,0.63450544193023584,0.63448749312847985,0.80556103846225924,36,1.3131268089042752e-14
high,68,2,0.62319999999999998,0.63481768375012171,0.63479970147152009,0.80516298783460416,36,1.5605755399470639e-14
high,68,2,0.62480000000000002,0.63514154974576931,0.6351235394246324,0.80478045731826309,36,1.8699499085850133e-14
high,68,2,0.62640000000000007,0.6354770076063716,0.63545897266530815,0.80441335766057809,37,8.7423127395179706e-15
high,68,2,0.628,0.63582403871938298,0.63580596700596703,0.80406160013039607,37,1.0455726138265841e-14
high,68,2,0.62960000000000005,0.63618258410936812,0.63616448839329542,0.80372509651467505,37,1.2430173687165338e-14
high,68,2,0.63119999999999998,0.63655262723538919,0.63653450290758762,0.80340375911510709,37,1.4803578590073766e-14
high,68,2,0.63280000000000003,0.63693413747577632,0.63691597676209144,0.80309750074477626,37,1.7553875229924244e-14
high,68,2,0.63439999999999996,0.63732706435453956,0.63730887630235644,0.80280623472483081,38,8.5399228530557036e-15
high,68,2,0.63600000000000001,0.637731392174259,0.63771316800558853,0.80252987488118788,38,1.0298010984093771e-14
high,68,2,0.63759999999999994,0.63814706896301354,0.63812881848000547,0.8022683355412582,38,1.22715513874487e-14
high,68,2,0.63919999999999999,0.63857408516566172,0.63855579446419852,0.80202153153069455,38,1.4634886738293871e-14
high,68,2,0.64080000000000004,0.63901238335094068,0.63899406282649585,0.80178937817016627,38,1.7663075637897937e-14
high,68,2,0.64239999999999997,0.63946194376671928,0.63944359056433098,0.80157179127215494,39,8.6278629295946738e-15
high,68,2,0.64400000000000002,0.63992273398594701,0.63990434480361491,0.80136868713777443,39,1.0386513098122412e-14
high,68,2,0.64559999999999995,0.64039472032092026,0.64037629279811092,0.80117998255361478,39,1.2456006119579175e-14
high,68,2,0.6472,0.64087786726149998,0.64085940192881419,0.80100559478860722,39,1.5051955742423602e-14
high,68,2,0.64880000000000004,0.64137213953173133,0.64135363970333403,0.80084544159091431,39,1.8090468207378667e-14
high,68,2,0.65039999999999998,0.64187750997025994,0.64185897375528012,0.80069944118483949,40,9.1559407712245812e-15
high,68,2,0.65200000000000002,0.6423939404351372,0.64237537184365268,0.80056751226776268,40,1.0940046088969957e-14
high,68,2,0.65359999999999996,0.64292141411298653,0.64290280185223581,0.80044957400709527,40,1.3239836510471108e-14
high,68,2,0.6552,0.64345988282023847,0.64344123178899404,0.80034554603725827,40,1.5908696901457357e-14
high,68,2,0.65680000000000005,0.64400931480981216,0.64399062978547295,0.800255348456683,40,1.9127288666390703e-14
high,68,2,0.65839999999999999,0.64456969010144016,0.64455096409620283,0.8001789018248312,41,1.0060178169872447e-14
high,68,2,0.66000000000000003,0.64514097173212182,0.64512220309810664,0.80011612715923919,41,1.2148421956487052e-14
high,68,2,0.66159999999999997,0.64572313167982132,0.64570431528991001,0.80006694593258276,41,1.4585056904472265e-14
high,68,2,0.66320000000000001,0.64631612057313836,0.64629726929155507,0.80003128006976032,41,1.760122191380789e-14
high,68,2,0.66480000000000006,0.64691991764799361,0.64690103384361919,0.80000905194500205,42,9.2919033471671882e-15
high,68,2,0.66639999999999999,0.64753451543031471,0.64751557780673474,0.80000018437899667,42,1.1306224519876863e-14
high,68,2,0.66800000000000004,0.64815985693239886,0.64814087016101407,0.80000460063603784,42,1.3822822633243111e-14
high,68,2,0.66959999999999997,0.6487959003774999,0.64877688000547606,0.80002222442119497,42,1.6553858100910758e-14
high,68,2,0.67120000000000002,0.64944263404986913,0.64942357655747796,0.8000529798774999,43,8.975213694659748e-15
high,68,2,0.67280000000000006,0.6501000476652492,0.65008092915214866,0.80009679158315772,43,1.1013220781899939e-14
high,68,2,0.6744,0.65076807584819774,0.65074890724182655,0.80015358454877372,43,1.3283299446538655e-14
high,68,2,0.67600000000000005,0.65144668570656017,0.65142748039549947,0.80022328421460331,43,1.6239051703598805e-14
high,68,2,0.67759999999999998,0.65213585793975981,0.65211661829824907,0.80030581644782173,43,1.9746231684537097e-14
high,68,2,0.67920000000000003,0.65283557993173935,0.65281629075069769,0.80040110753980931,44,1.0916809319516631e-14
high,68,2,0.68080000000000007,0.65354582903467773,0.65352646766845734,0.80050908420346067,44,1.3453603832151817e-14
high,68,2,0.68240000000000001,0.65426652803262575,0.65424711908158406,0.80062967357051018,44,1.6320135341395433e-14
high,68,2,0.68400000000000005,0.65499765678295119,0.65497821513403442,0.80076280318887838,44,1.9902431672315021e-14
high,68,2,0.68559999999999999,0.65573919635733202,0.65571972608312423,0.80090840102003646,45,1.1337235711877788e-14
high,68,2,0.68720000000000003,0.65649116861898982,0.6564716222989907,0.80106639543638858,45,1.3877130081042749e-14
high,68,2,0.68879999999999997,0.65725350272275995,0.65723387426405899,0.80123671521867468,45,1.6946691831702716e-14
high,68,2,0.69040000000000001,0.65802610547822971,0.65800645257251023,0.80141928955339015,46,9.8293391477356204e-15
high,68,2,0.69199999999999995,0.65880901221356047,0.65878932792975353,0.80161404803022418,46,1.2018795833682869e-14
high,68,2,0.69359999999999999,0.65960221722971413,0.6595824711518995,0.80182092063951782,46,1.4672569485764917e-14
