dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,delta_128,delta_256,delta_512,objective_256,objective_512,beta_512,scale_type,theory_scale,collapse_ratio,location_rel_change,value_rel_change,derivative_scaled,neighbor_left,neighbor_right,first_order_ok,neighbor_ok,accepted
phase_regimes,0,4,2,5.999999999999999778e-01,4.152787295564890901e-01,2.491672377338934319e-01,2.600000000000000000e+01,67108864,1.013825859162718723e+00,1.893208016078284928e-04,1.893090069523539754e-04,1.892772159999278614e-04,4.453520861808740348e+07,4.453520847578632832e+07,4.756619854079265353e-01,subcritical,1.984358754295496863e-04,9.538457478528200584e-01,1.679597423185159237e-04,3.195248883540583325e-09,1.758578061497021735e-09,2.842907011508941650e-01,2.817120924592018127e-01,1,1,1
phase_regimes,0,4,2,6.999999999999999556e-01,4.152787295564890901e-01,2.906951106895423464e-01,1.000000000000000000e+01,1024,1.041938439460247112e+00,4.798685506640798515e-02,4.798386549305466708e-02,4.798576792727471396e-02,6.771922365938900157e+02,6.771922273750994918e+02,4.381249608634866233e-01,subcritical,5.978156493292619694e-02,8.026850414691193425e-01,3.964580129112719775e-05,1.361325507172394692e-08,1.298823234772596338e-07,1.365738958156725857e-03,1.378539704091963358e-03,1,1,1
phase_regimes,0,4,2,6.999999999999999556e-01,4.152787295564890901e-01,2.906951106895423464e-01,1.800000000000000000e+01,262144,1.023299133033470643e+00,3.298346648901051559e-03,3.298552148169431320e-03,3.298682927097229545e-03,1.734798713143741188e+05,1.734798707059129956e+05,4.579941207484970467e-01,subcritical,3.702675678072335150e-03,8.908916723742248411e-01,3.964580127539200899e-05,3.507387460670638419e-09,3.193152927450042368e-09,1.759869989473372698e-02,1.764275043387897313e-02,1,1,1
phase_regimes,0,4,2,6.999999999999999556e-01,4.152787295564890901e-01,2.906951106895423464e-01,2.600000000000000000e+01,67108864,1.016130169023171881e+00,2.123082765776995728e-04,2.122522527222558963e-04,2.122166088753818514e-04,4.450101654615228623e+07,4.450101641773115844e+07,4.693144156962067992e-01,subcritical,2.306032146742350544e-04,9.202673482898869883e-01,1.679597419963289309e-04,2.885802126196031984e-09,4.651483765920457707e-10,2.613067775964736938e-01,2.612064033746719360e-01,1,1,1
phase_regimes,0,4,2,8.000000000000000444e-01,4.152787295564890901e-01,3.322229836451913165e-01,1.000000000000000000e+01,1024,1.047929645097425366e+00,5.196220168816401141e-02,5.195896445135539388e-02,5.196102448780715033e-02,6.752007896999826926e+02,6.752007806761426991e+02,4.266426313859830732e-01,subcritical,7.381359871107109893e-02,7.039492098359602101e-01,3.964580129169408641e-05,1.336467648100782925e-08,8.844727248930679832e-08,1.357613359004972153e-03,1.371336549254920101e-03,1,1,1
phase_regimes,0,4,2,8.000000000000000444e-01,4.152787295564890901e-01,3.322229836451913165e-01,1.800000000000000000e+01,262144,1.026627580609680734e+00,3.711299194236961085e-03,3.711067980894044993e-03,3.710920852630250621e-03,1.732778387146494351e+05,1.732778380731093348e+05,4.485559474127070456e-01,subcritical,4.566066865866107681e-03,8.127171505900298021e-01,3.964737315539594153e-05,3.702378258330249382e-09,1.925171525661905823e-08,1.652701428974978626e-02,1.674454077146947384e-02,1,1,1
phase_regimes,0,4,2,8.000000000000000444e-01,4.152787295564890901e-01,3.322229836451913165e-01,2.600000000000000000e+01,67108864,1.018434478883625038e+00,2.433655223196273809e-04,2.432522553746929717e-04,2.432426114441499365e-04,4.446685947961273789e+07,4.446685936657884717e+07,4.617429383117043207e-01,subcritical,2.842352372784245343e-04,8.557792262958585638e-01,3.964737299019438954e-05,2.541980529642218358e-09,8.538529426807367206e-10,2.399893254041671753e-01,2.393968924880027771e-01,1,1,1
phase_regimes,0,4,2,8.499999999999999778e-01,4.152787295564890901e-01,3.529869201230156905e-01,1.000000000000000000e+01,1024,1.050925247916014271e+00,5.413286674324613301e-02,5.413623942225587182e-02,5.413838578194074547e-02,6.741949620068171498e+02,6.741949530360270728e+02,4.207204317720691367e-01,subcritical,8.557797726840314645e-02,6.326205352125044978e-01,3.964580129002697649e-05,1.330592885129693796e-08,5.844995700686899265e-07,1.367219656685847440e-03,1.363952475230689743e-03,1,1,1
phase_regimes,0,4,2,8.499999999999999778e-01,4.152787295564890901e-01,3.529869201230156905e-01,1.800000000000000000e+01,262144,1.028291804397785780e+00,3.960724458066167131e-03,3.961769888923383220e-03,3.961926962692485787e-03,1.731765811301725917e+05,1.731765804700613953e+05,4.433101111097484393e-01,subcritical,5.290520169210085992e-03,7.488728586179893565e-01,3.964580129357589546e-05,3.811780984168640871e-09,2.520964483657234787e-09,1.613778318278491497e-02,1.625013377633877099e-02,1,1,1
phase_regimes,0,4,2,8.499999999999999778e-01,4.152787295564890901e-01,3.529869201230156905e-01,2.600000000000000000e+01,67108864,1.019586633813851728e+00,2.634310016006446986e-04,2.633083957997994773e-04,2.632979567274151833e-04,4.444979207416820526e+07,4.444979196944496781e+07,4.573467713029350512e-01,subcritical,3.292512461045622621e-04,7.996870470272968712e-01,3.964737331821094091e-05,2.355989371713562680e-09,1.364409671492940728e-10,2.286021187901496887e-01,2.299356013536453247e-01,1,1,1
phase_regimes,0,4,2,9.000000000000000222e-01,4.152787295564890901e-01,3.737508566008401756e-01,1.000000000000000000e+01,1024,1.053920850734603398e+00,5.646039933794055887e-02,5.645688186414177245e-02,5.645912023120347456e-02,6.731817995727948301e+02,6.731817906703737435e+02,4.146649541468321876e-01,subcritical,1.052350194750627244e-01,5.365050580389967294e-01,3.964580129013452257e-05,1.322439378175476933e-08,4.876270474387849849e-08,1.363120738460565917e-03,1.378198469296876283e-03,1,1,1
phase_regimes,0,4,2,9.000000000000000222e-01,4.152787295564890901e-01,3.737508566008401756e-01,1.800000000000000000e+01,262144,1.029956028185890826e+00,4.250460816666579156e-03,4.251582723262758989e-03,4.251414165858946603e-03,1.730751106136471208e+05,1.730751099333041348e+05,4.376578596573556523e-01,subcritical,6.501719813206312606e-03,6.538907070746822203e-01,3.964737314138649092e-05,3.930911765867307484e-09,1.647806293588528096e-08,1.580598179134540260e-02,1.579921066877432168e-02,1,1,1
phase_regimes,0,4,2,9.000000000000000222e-01,4.152787295564890901e-01,3.737508566008401756e-01,2.600000000000000000e+01,67108864,1.020738788744078196e+00,2.878299672336437354e-04,2.876601599767214523e-04,2.876487554591689033e-04,4.443273056167319417e+07,4.443273046565941721e+07,4.524386212029531951e-01,subcritical,4.045302317953465934e-04,7.110686244203660022e-01,3.964737318033644719e-05,2.160879512732052427e-09,5.017472380720698374e-10,2.183133587241172791e-01,2.204264774918556213e-01,1,1,1
phase_regimes,0,4,2,9.250000000000000444e-01,4.152787295564890901e-01,3.841328248397524181e-01,1.000000000000000000e+01,1024,1.055418652143897962e+00,5.767834147742434414e-02,5.767474812602613188e-02,5.767246156442240590e-02,6.726723275571937393e+02,6.726723186620976094e+02,4.115973589245544018e-01,subcritical,1.217599932223187714e-01,4.736569051800091912e-01,3.964737314310399591e-05,1.322352040229984415e-08,4.151443935166004690e-07,1.361963929412013385e-03,1.387576324987094267e-03,1,1,1
phase_regimes,0,4,2,9.250000000000000444e-01,4.152787295564890901e-01,3.841328248397524181e-01,1.800000000000000000e+01,262144,1.030788140079943238e+00,4.413830464111034857e-03,4.413555483183007055e-03,4.413380504239339253e-03,1.730242806954591360e+05,1.730242800042268937e+05,4.346611193620278368e-01,subcritical,7.520363050644957373e-03,5.868573730440901359e-01,3.964737314168225449e-05,3.995001408887609820e-09,3.863916470930621433e-09,1.556112660910002887e-02,1.570214270032010972e-02,1,1,1
