dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,radial_order,angular_order,state_bins,gamma,delta,beta,objective,derivative_logdelta,derivative_scaled,neighbor_left,neighbor_right,H_constant,scale_type,theory_scale,collapse_ratio,row_error,steps,evaluations,cgal_version
phase_regimes,0,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,2.600000000000000000e+01,67108864,1.002304309860453158e+00,512,128,129,9.998721088673309110e-01,1.278911326690890249e-04,4.974152361967016378e-01,4.470680820228098333e+07,3.408454358577728271e-02,7.624016331373496486e-10,3.852139264345169067e-01,3.866380453109741211e-01,2.450976089300280769e-01,subcritical,1.280904698968848322e-04,9.984437778395514052e-01,1.754152378907747334e-14,67108864,30,6.1.1-I-900
phase_regimes,0,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,1.000000000000000000e+01,1024,1.011982411274356286e+00,128,32,33,9.658941959803191146e-01,3.410580401968088538e-02,4.873838916276355127e-01,6.868517633177855259e+02,-3.944270758893253515e-04,5.742535681703358602e-07,1.541036026651454449e-03,1.527886525877875101e-03,2.474726345833000718e-01,subcritical,3.513563405922433963e-02,9.706898689288606663e-01,4.884981308350688778e-15,1024,30,6.1.1-I-900
phase_regimes,0,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,1.000000000000000000e+01,1024,1.011982411274356286e+00,256,64,65,9.658920710618315031e-01,3.410792893816849691e-02,4.873749033807461273e-01,6.868516372140933299e+02,1.492422541105042910e-04,2.172845575732174082e-07,1.530141897546855034e-03,1.538741538297472289e-03,2.474690639070574461e-01,subcritical,3.513538057983143365e-02,9.707573498648049970e-01,1.132427485117659671e-14,1024,30,6.1.1-I-900
phase_regimes,0,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,1.000000000000000000e+01,1024,1.011982411274356286e+00,512,128,129,9.658934232980046497e-01,3.410657670199535030e-02,4.873806231742212614e-01,6.868516262511720925e+02,-1.498484039075265173e-04,2.181670657539202514e-07,1.536113535621552728e-03,1.532748461386290728e-03,2.474686214649007565e-01,subcritical,3.513534917109641109e-02,9.707197311718374078e-01,3.497202527569243102e-14,1024,30,6.1.1-I-900
phase_regimes,0,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,1.800000000000000000e+01,262144,1.006656895152420184e+00,128,32,33,9.978251083474406480e-01,2.174891652559352018e-03,4.913800418456668595e-01,1.744864337455678324e+05,1.994176273001357913e-02,1.142883277624448812e-07,2.275342747452668846e-02,2.356520539615303278e-02,2.461678978045254429e-01,subcritical,2.190180611862931753e-03,9.930193157492270828e-01,1.887379141862766119e-14,262144,30,6.1.1-I-900
phase_regimes,0,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,1.800000000000000000e+01,262144,1.006656895152420184e+00,256,64,65,9.978256822573113860e-01,2.174317742688613997e-03,4.914011945261246295e-01,1.744864306397209875e+05,-9.385956218466162682e-03,5.379189765103427437e-08,2.333832069416530430e-02,2.297689794795587659e-02,2.461642558052596352e-01,subcritical,2.190164410185631641e-03,9.927646219510641856e-01,7.105427357601001859e-15,262144,30,6.1.1-I-900
phase_regimes,0,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,1.800000000000000000e+01,262144,1.006656895152420184e+00,512,128,129,9.978255960513244816e-01,2.174403948675518450e-03,4.913980168630818768e-01,1.744864301295053738e+05,-4.926048859488219023e-03,2.823170177664854425e-08,2.324909504386596382e-02,2.306609009974636137e-02,2.461638025376756411e-01,subcritical,2.190162393786084741e-03,9.928048964975035862e-01,2.120525977034048992e-14,262144,30,6.1.1-I-900
phase_regimes,0,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,2.600000000000000000e+01,67108864,1.004608619720906315e+00,128,32,33,9.998638110320970940e-01,1.361889679029060218e-04,4.939270206977183220e-01,4.467239871106093377e+07,-1.297183334827423096e-01,2.903769155575339946e-09,3.687191829085350037e-01,3.636929988861083984e-01,2.456661643794033623e-01,subcritical,1.367467179354196186e-04,9.959212912680142082e-01,3.663735981263016583e-15,67108864,30,6.1.1-I-900
phase_regimes,0,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,2.600000000000000000e+01,67108864,1.004608619720906315e+00,256,64,65,9.998638195166479337e-01,1.361804833520663394e-04,4.939304777157695336e-01,4.467239667126367986e+07,3.955699503421783447e-02,8.854907724183865225e-10,3.653830811381340027e-01,3.671445548534393311e-01,2.456624945964742679e-01,subcritical,1.367456965643112693e-04,9.958666837315856002e-01,8.770761894538736669e-15,67108864,30,6.1.1-I-900
phase_regimes,0,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,2.600000000000000000e+01,67108864,1.004608619720906315e+00,512,128,129,9.998638249156323043e-01,1.361750843676956535e-04,4.939326776363320293e-01,4.467239648379479349e+07,8.137151598930358887e-02,1.821516694740602150e-09,3.645518496632575989e-01,3.679845631122589111e-01,2.456620370985125867e-01,subcritical,1.367455692333023598e-04,9.958281290662266416e-01,1.151301276536287332e-13,67108864,30,6.1.1-I-900
